bloc;blocsimple;observer;linetype;line;traitement;nomfocal;mate1R;mate2W;dureepositionmaleavecfocal;duree_positionfemellefocalavecmate1;duree_positionfemellefocalavecmate2;dureepositionmaleavecmate1;dureepositionmaleavecmate2;nbcopavecfocal;nbcopavecmate1;nbcopavecmate2;dureecopmaleavecfocal;dureecopmaleavecmate1;dureecopmaleavecmate2;dureecoppluspositionsurfocal;dureecoppluspositionsurmate1;dureecoppluspositionsurmate2;MASSEPARTENAIRE1;MASSEPARTENAIRE2;massefocal;nbpartenairefemelledufocal;nbpartenairemaledufocal;femcoptime;malcoptime;totfemtime;totmaletime;femalecops;malecops;totalobservedtime
3a;3;PD;F;F1;O;F112OI3;T1_417;T2_432;0;0;0;0;0;0;0;0;0;0;0;0;0;0;78;41;17;0;0;0;0;0;0;0;0;2700
1b;1;TJ;F;F1;O;F113OB;T1_115;T2_145;0;0;460;0;364;0;0;0;0;0;0;0;0;0;79;77;81;0;2;1099;0;1559;0;2;0;2700
2a;2;TJ;F;F1;O;F113OE2;T1_264;T2_231;0;13;0;385;0;0;1;0;0;464;0;0;849;0;43;30;49;1;0;0;464;13;849;0;1;2700
2a;2;PD;F;F1;O;F113OF2;T1_208;T2_232;0;0;515;566;0;0;1;0;0;504;0;0;1070;0;58;34;31;1;0;0;504;515;1070;0;1;2700
3a;3;PD;F;F1;O;F113OJ3;T1_427;T2_438;0;0;0;422;0;0;1;0;0;174;0;0;596;0;46;38;21;1;0;0;174;0;596;0;1;2700
1b;1;TJ;F;F1;O;F114OC1;T1_95;T1_107;0;253;0;0;0;0;0;0;0;0;0;0;0;0;64;56;45;0;1;224;0;477;0;1;0;2700
1b;1;TJ;F;F1;O;F114OC2;T1_116;T2_147;0;54;106;228;0;0;1;0;0;443;0;0;671;0;62;59;45;1;1;270;443;430;671;1;1;2700
1b;1;PD;F;F1;O;F115OC;T1_135;T2_96;0;0;0;0;276;0;0;1;0;0;467;0;0;743;56;68;65;1;0;0;467;0;743;0;1;2700
2a;2;TJ;F;F1;O;F115OE3;T1_262;T2_229;0;0;129;0;10;0;0;0;0;0;0;0;0;10;68;32;53;0;0;0;0;129;10;0;0;2700
2a;2;YC;F;F1;O;F115OF2;T1_214;T2_261;0;0;225;0;81;0;0;1;0;0;1534;0;0;1615;45;47;24;1;0;0;1534;225;1615;0;1;2700
2a;2;PD;F;F1;O;F115OH2;T1_224;T2_247;0;79;0;557;0;0;1;0;0;837;0;0;1394;0;40;73;46;1;0;0;837;79;1394;0;1;2700
3b;3;TJ;F;F1;O;F121OJ3;T1_541;T2_505;0;0;0;328;378;0;1;1;0;241;769;0;569;1147;74;64;28;2;0;0;1010;0;1716;0;2;2700
2b;2;PD;F;F1;O;F122OG3;T1_301;T2_282;0;0;0;187;0;0;2;0;0;750;0;0;937;0;69;42;59;1;0;0;750;0;937;0;2;2700
2b;2;YC;F;F1;O;F122OH3;T1_314;T2_299;0;0;0;0;242;0;0;1;0;0;349;0;0;591;34;41;35;1;0;0;349;0;591;0;1;2700
3a;3;PD;F;F1;O;F122OI3;T1_416;T2_428;0;347;110;0;447;0;0;2;0;0;767;0;0;1214;46;41;35;1;2;378;767;835;1214;2;2;2700
3a;3;TJ;F;F1;O;F123OI;T1_412;T2_403;0;297;0;189;0;0;1;0;0;190;0;0;379;0;72;71;14;1;0;0;190;297;379;0;1;2700
3b;3;TJ;F;F1;O;F123OJ3;T1_540;T2_504;0;0;272;452;0;0;1;0;0;213;0;0;665;0;98;69;42;1;0;0;213;272;665;0;1;2700
3a;3;TJ;F;F1;O;F125OI3;T1_436;T2_423;0;0;186;143;697;0;0;1;0;0;159;0;143;856;70;62;41;1;0;0;159;186;999;0;1;2700
2b;2;PD;F;F2;O;F217OE2;T1_328;T2_295;0;223;0;0;9;0;0;0;0;0;0;0;0;9;50;34;33;0;1;612;0;835;9;1;0;2700
3a;3;TJ;F;F2;O;F218OI2;T1_447;T2_445;0;178;240;619;0;0;1;0;0;33;0;0;652;0;50;29;20;1;0;0;33;418;652;0;1;2700
3b;3;YC;F;F2;O;F218OK2;T1_507;T2_539;0;0;0;0;0;0;0;0;0;0;0;0;0;0;72;61;47;0;0;0;0;0;0;0;0;2700
2b;2;PD;F;F2;O;F219OF2;T1_322;T2_276;0;0;0;0;197;0;0;0;0;0;0;0;0;197;62;60;21;0;1;1215;0;1215;197;1;0;2700
3b;3;TJ;F;F2;O;F220OJ3;T1_517;T2_544;0;393;416;0;216;0;0;1;0;0;167;0;0;383;71;33;18;1;1;246;167;1055;383;1;1;2700
3b;3;TJ;F;F2;O;F220OK3;T1_518;T2_536;0;482;274;0;114;0;0;1;0;0;402;0;0;516;70;35;46;1;2;639;402;1395;516;2;1;2700
2b;2;PD;F;F1;O;F122OF3;T1_323;T2_285;0;214;321;431;6;0;2;0;0;598;0;0;1029;6;61;43;54;1;2;918;598;1453;1035;3;2;2700
3b;3;TJ;F;F2;O;F223OJ3;T1_537;T2_501;0;36;0;214;82;0;0;1;0;0;566;0;214;648;94;60;0;1;1;185;566;221;862;1;1;2700
1b;1;TJ;F;F2;O;F27OC2;T1_82;T2_66;0;0;334;0;0;0;0;0;0;0;0;0;0;0;48;36;27;0;1;72;0;406;0;1;0;2700
2b;2;PD;F;F2;O;F27OG2;T1_300;T2_281;0;0;238;0;0;0;0;0;0;0;0;0;0;0;46;59;48;0;2;601;0;839;0;2;0;2700
3b;3;TJ;F;F2;O;F27OJ1;T1_513;T2_532;0;1035;322;0;244;0;0;0;0;0;0;0;0;244;78;35;42;0;2;654;0;2011;244;2;0;2700
3b;3;YC;F;F2;O;F27OJ2;T1_562;T2_517;0;0;0;0;0;0;0;0;0;0;0;0;0;0;99;66;39;0;0;0;0;0;0;0;0;2700
3b;3;YC;F;F2;O;F27OK3;T1_519;T2_538;0;0;0;0;782;0;0;0;0;0;0;0;0;782;70;50;35;0;0;0;0;0;782;0;0;2700
1b;1;TJ;F;F2;O;F28OC1;T1_87;T2_67;0;0;621;0;0;0;0;0;0;0;0;0;0;0;41;72;46;0;1;1309;0;1930;0;1;0;2700
3a;3;TJ;F;F2;O;F28OI2;T1_446;T2_449;0;0;0;0;0;0;0;0;0;0;0;0;0;0;74;40;10;0;0;0;0;0;0;0;0;2700
1b;1;TJ;F;F2;O;F29OB2;T1_80;T2_64;0;143;403;57;0;0;0;0;0;0;0;0;57;0;64;126;86;0;2;700;0;1246;57;2;0;2700
1b;1;PD;F;F2;O;F29OA1;T1_114;T2_87;0;0;289;475;451;0;0;1;0;0;670;0;475;1121;92;72;89;1;0;0;670;289;1596;0;1;2700
1b;1;PD;F;F2;O;F29OD;T1_79;T2_59;0;5;152;0;79;0;0;0;0;0;0;0;0;79;50;36;63;0;0;0;0;157;79;0;0;2700
2b;2;PD;F;F2;O;F29OF1;T1_293;T2_277;0;240;388;0;0;0;1;0;0;598;0;0;598;0;59;27;44;1;2;757;598;1385;598;2;1;2700
2b;2;PD;F;F2;O;F29OG1;T1_274;T2_318;0;0;0;0;190;0;0;1;0;0;286;0;0;476;59;55;35;1;0;0;286;0;476;0;1;2700
