BLOC;blocsimple;lignée;réplicat;Traitement_focal;ID_focal;famille;partenaire1;partenaire2; date_naiss_focal ;masse_avant_repro(MG); date_pesée_avt_repro ;focaldejapondeur; date_pontes_1 ; date_fin_ponte_1 ;nbjoursponte1;nb_pontes_1;nb_oeufs_1;diffpontesurvies1;oeufscorrigés1;[P]1;[A]1;NE[P]1;NE[A]1;NE[ ?]1;surv1P+A; date_pontes_2 ; date_fin_de_ponte_2 ;jours2;nb_pontes_2;nb_oeufs_2;diffpontesurvies2;oeufcorrigésperiode2;[P]2;[A]2;NE[P]2;NE[A]2;NE[ ?]2;survP+A_2;masse_fin_(mg); date_fin_(mg) ;joursdepontetotal;oeufsmaterneltotalcorrigé;survivantsPmèretotal;survies
1B;1;F;F2;O;F2_7_O_C2;F2_7_O;AT1_82;AT2_66; 40 934   ;27; 40 980   ;0; 40 984   ; 40 989   ;5;1;18;7;18;8;0;0;0;3;8; 40 989   ; 40 991   ;2;1;20;4;20;12;0;2;0;2;12;48; 40 991   ;7;38;20;0.526315789
1B;1;F;F2;O;F2_7_O_D;F2_7_O;AT1_73;AT2_68; 40 934   ;106; 40 980   ;0; 40 984   ; 40 989   ;5;1;44;1;44;1;0;0;0;42;1; 40 989   ; 40 991   ;2;1;46;8;46;4;0;11;0;23;4;121; 40 991   ;7;90;5;0.055555556
1B;1;F;F2;O;F2_8_O_C1;F2_8_O;AT1_87;AT2_67; 40 934   ;46; 40 980   ;0; 40 984   ; 40 989   ;5;3;0;0;0;0;0;0;0;0;0; 40 989   ; 40 991   ;2;2;0;-1;1;1;0;0;0;0;1;50; 40 991   ;7;1;1;1
1B;1;F;F2;O;F2_9_O_B2;F2_9_O;AT1_80;AT2_64; 40 934   ;86; 40 980   ;0; 40 984   ; 40 989   ;5;2;52;9;52;28;0;9;0;6;28; 40 989   ; 40 991   ;2;1;19;5;19;13;0;1;0;0;13;101; 40 991   ;7;71;41;0.577464789
1B;1;F;F2;O;F2_9_O_D;F2_9_O;AT1_79;AT2_59; 40 934   ;63; 40 980   ;0; 40 984   ; 40 989   ;5;4;73;5;73;61;0;3;0;4;61; 40 989   ; 40 991   ;2;3;61;50;61;8;0;0;0;3;8;78; 40 991   ;7;134;69;0.514925373
1B;1;F;F2;O;F2_9_O_A1;F2_9_O;AT1_114;AT2_87; 40 934   ;89; 40 980   ;0; 40 984   ; 40 989   ;5;2;30;2;30;21;0;4;0;3;21; 40 989   ; 40 991   ;2;1;29;10;29;1;0;11;0;7;1;97; 40 991   ;7;59;22;0.372881356
1B;1;F;F1;O;F1_12_O_C;F1_12_O;AT1_90;AT2_101; 40 934   ;75; 40 980   ;0; 40 984   ; 40 989   ;5;6;91;24;91;1;0;5;0;61;1; 40 989   ; 40 991   ;2;2;47;4;47;0;0;4;0;39;0;79; 40 991   ;7;138;1;0.007246377
1B;1;F;F1;O;F1_14_O_C1;F1_14_O;AT1_95;AT1_107; 40 934   ;45; 40 980   ;1; 40 984   ; 40 989   ;5;0;0;-14;14;0;0;0;0;14;0; 40 989   ; 40 991   ;2;1;28;28;28;0;0;0;0;0;0;42; 40 991   ;7;42;0;0
1B;1;F;F1;O;F1_14_O_C2;F1_14_O;AT1_116;AT1_147; 40 934   ;45; 40 980   ;0; 40 984   ; 40 989   ;5;4;48;6;48;40;0;0;0;2;40; 40 989   ; 40 991   ;2;4;55;24;55;11;0;10;0;10;11;59; 40 991   ;7;103;51;0.495145631
1B;1;F;F1;O;F1_13_O_B;F1_13_O;AT1_115;AT1_145; 40 934   ;81; 40 980   ;0; 40 984   ; 40 989   ;5;5;55;4;55;50;0;1;0;0;50; 40 989   ; 40 991   ;2;0;0;0;0;0;0;0;0;0;0;91; 40 991   ;7;55;50;0.909090909
1B;1;F;F1;O;F1_15_O_C;F1_15_O;AT1_135;AT2_96; 40 934   ;65; 40 980   ;0; 40 984   ; 40 989   ;5;4;30;18;30;3;1;5;0;3;4; 40 989   ; 40 991   ;2;1;15;1;15;3;0;6;0;5;3;86; 40 991   ;7;45;6;0.133333333
1B;1;F;F1;O;F1_15_O_B3;F1_15_O;AT1_88;AT1_103; 40 934   ;56; 40 980   ;0; 40 984   ; 40 989   ;5;2;33;-2;35;34;0;0;0;1;34; 40 989   ; 40 991   ;2;2;29;10;29;12;0;4;0;3;12;68; 40 991   ;7;64;46;0.71875
2A;2;F;F1;O;F1_15_O_H2;F1_15_O;AT1_224;AT2_247; 40 938   ;46; 40 987   ;0; 40 991   ; 40 995   ;4;4;46;15;46;7;0;14;0;10;7;;;;;;;;;;;;;;73; 40 995   ;4;46;7;0.152173913
2A;2;F;F1;O;F1_13_O_F2;F1_13_O;AT1_208;AT2_232; 40 938   ;31; 40 987   ;0; 40 991   ; 40 995   ;4;3;31;-2;33;11;5;7;0;10;16;;;;;;;;;;;;;;52; 40 995   ;4;33;11;0.333333333
2A;2;F;F1;O;F1_15_O_E3;F1_15_O;AT1_262;AT2_229; 40 938   ;53; 40 987   ;0; 40 991   ; 40 995   ;4;4;68;-4;72;58;0;10;0;4;58;;;;;;;;;;;;;;76; 40 995   ;4;72;58;0.805555556
2A;2;F;F1;O;F1_13_O_E2;F1_13_O;AT1_264;AT2_231; 40 938   ;49; 40 987   ;0; 40 991   ; 40 995   ;4;5;73;9;73;63;0;1;0;0;63;;;;;;;;;;;;;;69; 40 995   ;4;73;63;0.863013699
2B;2;F;F1;O;F1_22_O_H3;F1_22_O;AT1_314;AT2_299; 40 941   ;35; 40 989   ;0; 40 994   ; 41 001   ;7;1;18;0;18;18;0;0;0;0;18; 41 001   ; 41 004   ;3;0;0;0;0;0;0;0;0;0;0;MORT; 41 004   ;10;18;18;1
2B;2;F;F1;O;F1_22_O_F3;F1_22_O;AT1_323;AT2_285; 40 941   ;54; 40 989   ;0; 40 994   ; 41 001   ;7;5;73;-14;87;62;0;6;0;19;62; 41 001   ; 41 004   ;3;2;42;11;42;22;0;4;0;5;22;64; 41 004   ;10;129;84;0.651162791
2B;2;F;F2;O;F2_19_O_F2;F2_19_O;AT1_322;AT2_276; 40 941   ;21; 40 989   ;0; 40 994   ; 41 001   ;7;2;33;4;33;11;0;0;0;18;11; 41 001   ; 41 004   ;3;1;31;0;31;14;0;5;0;12;14;42; 41 004   ;10;64;25;0.390625
