lignedansfichiergénéral;BLOC;blocsimple;FAMILLEfocal_;réplicat_focal;traitement_focal;lignée_focal;idfamille_focal;idfocal;idpartenaire1;idpartenaire2; date_naiss_focal ;massefocal;massecompetiteur;IDpartenaire;massepartenaireavantrepro(MG); datepeseepartenaireavtrepro ;ligneepartenaire;partenairedejapondeur; date_pontes_1 ; date_fin_ponte_1 ;njours1;nb_pontes_1;nb_oeufs_1;diffpontesurvies1;oeufscorrigés1;_P_1;_A_1;NE_P_1;NE_A_1;NE_ unknown_1;survtot1; date_pontes_2 ; date_fin_de_ponte_2 ;njours2;nb_pontes_2;nb_oeufs_2;diffpontesurvies2;oeufcorrigésperiode2;_P_2;_A_2;NE_P_2;NE_A_2;NE_ unknown_2;nbjourspontetotal;oeufsmaterneltotalcorrigé;survivantsPmèretotal;survivantsAmèretotal;survivants_(P/(P+A))total;survivants_total
131;1A;1;1;T1;O;T;T1_1_O;T1_1_O_B3;AT1_5;AT2_43; 40 931   ;44;45;AT1_5;40; 40 975   ;AT1;non; 40 980   ; 40 984   ;4;0;0;0;0;0;0;0;0;0;0; 40 984   ; 40 989   ;5;4;73;6;73;26;0;36;0;5;9;73;26;0;1;26
132;1A;1;1;T1;O;T;T1_1_O;T1_1_O_B3;AT1_5;AT2_43; 40 931   ;44;40;AT2_43;45; 40 975   ;AT2;non; 40 980   ; 40 984   ;4;6;72;8;72;23;25;4;11;1;48; 40 984   ; 40 989   ;5;3;47;9;47;16;16;1;1;4;9;119;39;41;0.4875;80
134;1A;1;4;T1;O;T;T1_4_O;T1_4_O_B3;AT1_6;AT2_42; 40 931   ;23;30;AT1_6;29; 40 975   ;AT1;non; 40 980   ; 40 984   ;4;4;59;42;59;0;16;0;0;1;16; 40 984   ; 40 989   ;5;7;75;-8;83;0;81;0;0;2;9;142;0;97;0;97
135;1A;1;4;T1;O;T;T1_4_O;T1_4_O_B3;AT1_6;AT2_42; 40 931   ;23;29;AT2_42;30; 40 975   ;AT2;non; 40 980   ; 40 984   ;4;3;50;3;50;23;4;18;2;0;27; 40 984   ; 40 989   ;5;2;42;-5;47;47;0;0;0;0;9;97;70;4;0.945945946;74
137;1A;1;2;T1;O;T;T1_2_O;T1_2_O_A3;AT1_37;AT2_40; 40 931   ;56;38;AT1_37;36; 40 975   ;AT1;non; 40 980   ; 40 984   ;4;5;68;30;68;33;0;3;0;2;33; 40 984   ; 40 989   ;5;8;80;23;80;46;7;2;0;2;9;148;79;7;0.918604651;86
138;1A;1;2;T1;O;T;T1_2_O;T1_2_O_A3;AT1_37;AT2_40; 40 931   ;56;36;AT2_40;38; 40 975   ;AT2;non; 40 980   ; 40 984   ;4;4;61;9;61;29;20;0;0;3;49; 40 984   ; 40 989   ;5;5;58;0;58;20;6;31;0;1;9;119;49;26;0.653333333;75
140;1B;1;23;T1;O;T;T1_23_O;T1_23_O_A2;AT1_137;AT1_143; 40 934   ;69;27;AT1_137;41; 40 980   ;AT1;non; 40 984   ; 40 989   ;5;5;50;-7;57;41;10;2;0;4;51; 40 989   ; 40 991   ;2;3;35;17;35;14;1;1;0;2;7;92;55;11;0.833333333;66
141;1B;1;23;T1;O;T;T1_23_O;T1_23_O_A2;AT1_137;AT1_143; 40 934   ;69;41;AT1_143;27; 40 980   ;AT1;non; 40 984   ; 40 989   ;5;0;0;0;0;0;0;0;0;0;0; 40 989   ; 40 991   ;2;0;0;0;0;0;0;0;0;0;7;0;0;0;;0
143;1B;1;23;T1;O;T;T1_23_O;T1_23_O_B;AT1_69;AT2_75; 40 934   ;84;36;AT1_69;63; 40 980   ;AT1;non; 40 984   ; 40 989   ;5;2;54;13;54;20;17;0;0;4;37; 40 989   ; 40 991   ;2;2;61;39;61;1;2;11;8;0;7;115;21;19;0.525;40
144;1B;1;23;T1;O;T;T1_23_O;T1_23_O_B;AT1_69;AT2_75; 40 934   ;84;63;AT2_75;36; 40 980   ;AT2;non; 40 984   ; 40 989   ;5;3;42;-9;51;31;19;0;0;1;50; 40 989   ; 40 991   ;2;3;43;29;43;8;4;0;0;2;7;94;39;23;0.629032258;62
146;1A;1;3;T1;O;T;T1_3_O;T1_3_O_B2;AT1_39;AT2_24; 40 931   ;44;44;AT1_39;32; 40 975   ;AT1;non; 40 980   ; 40 984   ;4;4;48;-4;52;14;38;0;0;0;52; 40 984   ; 40 989   ;5;4;55;8;55;25;22;0;0;0;9;107;39;60;0.393939394;99
147;1A;1;3;T1;O;T;T1_3_O;T1_3_O_B2;AT1_39;AT2_24; 40 931   ;44;32;AT2_24;44; 40 975   ;AT2;non; 40 980   ; 40 984   ;4;4;68;-2;70;8;62;0;0;0;70; 40 984   ; 40 989   ;5;3;74;23;74;11;14;2;11;13;9;144;19;76;0.2;95
149;1B;1;2;T1;O;T;T1_2_O;T1_2_O_C;AT1_93;AT2_91; 40 934   ;60;73;AT1_93;63; 40 980   ;AT1;non; 40 984   ; 40 989   ;5;4;58;0;58;20;0;38;0;0;20; 40 989   ; 40 991   ;2;2;40;2;40;34;0;1;2;1;7;98;54;0;1;54
150;1B;1;2;T1;O;T;T1_2_O;T1_2_O_C;AT1_93;AT2_91; 40 934   ;60;63;AT2_91;73; 40 980   ;AT2;non; 40 984   ; 40 989   ;5;5;58;11;58;21;17;4;4;1;38; 40 989   ; 40 991   ;2;3;39;9;39;13;1;15;1;0;7;97;34;18;0.653846154;52
152;1B;1;4;T1;O;T;T1_4_O;T1_4_O_C;AT1_139;AT2_97; 40 934   ;70;54;AT1_139;50; 40 980   ;AT1;oui; 40 984   ; 40 989   ;5;3;43;4;43;18;21;0;0;0;39; 40 989   ; 40 991   ;2;2;26;0;26;0;0;15;10;1;7;69;18;21;0.461538462;39
153;1B;1;4;T1;O;T;T1_4_O;T1_4_O_C;AT1_139;AT2_97; 40 934   ;70;50;AT2_97;54; 40 980   ;AT2;oui; 40 984   ; 40 989   ;5;8;70;2;70;14;44;0;9;1;58; 40 989   ; 40 991   ;2;3;47;7;47;10;28;0;2;0;7;117;24;72;0.25;96
155;1B;1;5;T1;O;T;T1_5_O;T1_5_O_C1;AT1_138;AT1_129; 40 934   ;75;49;AT1_138;23; 40 980   ;AT1;non; 40 984   ; 40 989   ;5;0;0;0;0;0;0;0;0;0;0; 40 989   ; 40 991   ;2;0;0;0;0;0;0;0;0;0;7;0;0;0;;0
156;1B;1;5;T1;O;T;T1_5_O;T1_5_O_C1;AT1_138;AT1_129; 40 934   ;75;23;AT1_129;49; 40 980   ;AT1;non; 40 984   ; 40 989   ;5;6;46;-6;52;49;0;3;0;0;49; 40 989   ; 40 991   ;2;1;25;1;25;23;0;1;0;0;7;77;72;0;1;72
158;1A;1;6;T2;O;T;T2_6_O;T2_6_O_B3;AT1_11;AT2_36; 40 931   ;51;35;AT1_11;37; 40 975   ;AT1;non; 40 980   ; 40 984   ;4;1;24;10;24;0;7;0;2;5;7; 40 984   ; 40 989   ;5;4;47;4;47;0;35;0;8;0;9;71;0;42;0;42
159;1A;1;6;T2;O;T;T2_6_O;T2_6_O_B3;AT1_11;AT2_36; 40 931   ;51;37;AT2_36;35; 40 975   ;AT2;non; 40 980   ; 40 984   ;4;1;13;4;13;0;9;0;0;0;9;;; ;;;;;;;;;;4;13;0;9;0;9
161;1A;1;7;T2;O;T;T2_7_O;T2_7_O_A3;AT1_7;AT2_39; 40 931   ;57;42;AT1_7;41; 40 975   ;AT1;non; 40 980   ; 40 984   ;4;2;59;8;59;48;0;3;0;0;48; 40 984   ; 40 989   ;5;3;70;2;70;41;0;22;0;5;9;129;89;0;1;89
162;1A;1;7;T2;O;T;T2_7_O;T2_7_O_A3;AT1_7;AT2_39; 40 931   ;57;41;AT2_39;42; 40 975   ;AT2;non; 40 980   ; 40 984   ;4;4;60;20;60;23;3;9;1;4;26; 40 984   ; 40 989   ;5;8;100;20;100;53;4;0;0;23;9;160;76;7;0.915662651;83
164;1A;1;6;T2;O;T;T2_6_O;T2_6_O_C2;AT1_8;AT2_38; 40 931   ;26;38;AT1_8;44; 40 975   ;AT1;non; 40 980   ; 40 984   ;4;3;57;13;57;7;37;0;0;0;44; 40 984   ; 40 989   ;5;3;62;5;62;14;42;0;1;0;9;119;21;79;0.21;100
165;1A;1;6;T2;O;T;T2_6_O;T2_6_O_C2;AT1_8;AT2_38; 40 931   ;26;44;AT2_38;38; 40 975   ;AT2;non; 40 980   ; 40 984   ;4;3;54;7;54;0;21;0;16;10;21; 40 984   ; 40 989   ;5;6;87;-4;91;0;38;0;50;3;9;145;0;59;0;59
167;1A;1;6;T2;O;T;T2_6_O;T2_6_O_A2;AT1_12;AT2_41; 40 931   ;17;47;AT1_12;42; 40 975   ;AT1;oui; 40 980   ; 40 984   ;4;4;62;7;62;0;30;0;25;0;30; 40 984   ; 40 989   ;5;6;78;18;78;0;41;0;12;7;9;140;0;71;0;71
168;1A;1;6;T2;O;T;T2_6_O;T2_6_O_A2;AT1_12;AT2_41; 40 931   ;17;42;AT2_41;47; 40 975   ;AT2;oui; 40 980   ; 40 984   ;4;4;83;4;83;0;54;0;1;24;54; 40 984   ; 40 989   ;5;5;92;-19;111;0;93;0;15;3;9;194;0;147;0;147
413;2A;2;19;T2;O;T;T2_19_O;T2_19_O_E3;AT1_207;AT2_258; 40 938   ;34;54;AT1_207;39; 40 987   ;AT1;non; 40 991   ; 40 995   ;4;1;17;1;17;0;0;0;0;16;0;;; ;;;;;;;;;;4;17;0;0;;0
414;2A;2;19;T2;O;T;T2_19_O;T2_19_O_E3;AT1_207;AT2_258; 40 938   ;34;39;AT2_258;54; 40 987   ;AT2;non; 40 991   ; 40 995   ;4;4;62;15;62;2;42;0;1;2;44;;; ;;;;;;;;;;4;62;2;42;0.045454545;44
575;2B;2;22;T1;O;T;T1_22_O;T1_22_O_F2;AT1_284;AT2_319; 40 941   ;18;49;AT1_284;76; 40 989   ;AT1;non; 40 994   ; 41 001   ;7;2;67;10;67;18;25;4;8;2;43; 41 001   ; 41 004   ;3;2;60;0;60;27;25;4;1;3;10;127;45;50;0.473684211;95
