block;day ;Date;Observer;Trays ;session;linetype;hybridity;line;FOCAL_ID;PAIR_ID;ALBINO_ID;wf;wp;wa;NumCycles;TotTimeObs;MaleNumMount;MaleNumCop;MaleTimeMount;MaleTimeCop;FemNumMount;FemNumCop;FemTimeMount;FemTimeCop
B1;1;120314;NB;France;AM;C;NH;C1;1;P_1;;61;44;;28;5371;1;1;404;202;4;4;2260;1168
B1;1;120314;NB;France;AM;M;NH;M1;2;P_2;;65;54;;28;5371;1;1;727;356;1;1;590;196
B1;1;120314;NB;France;AM;F;NH;F1;3;P_3;;31;58;;28;5371;1;1;776;586;2;1;759;360
B1;1;120314;NB;France;AM;C;NH;C2;4;P_4;;42;44;;28;5371;1;1;642;426;2;1;571;185
B1;1;120314;NB;France;AM;M;NH;M2;5;P_5;;35;30;;28;5371;2;2;495;304;1;1;357;178
B1;1;120314;NB;France;AM;F;NH;F2;6;P_6;;75;51;;28;5371;2;1;1292;932;4;4;2002;1671
B1;1;120314;NB;France;AM;C;H;CH;7;P_7;;50;35;;28;5371;1;1;898;352;2;2;1561;574
B1;1;120314;NB;France;AM;M;H;MH;8;P_8;;65;114;;28;5371;2;1;915;348;1;1;1680;939
B1;1;120314;NB;France;AM;F;H;FH;9;P_9;;29;40;;28;5371;0;0;0;0;0;0;0;0
B1;1;120314;NB;France;AM;C;NH;C1;10;P_10;;37;66;;28;5371;2;1;1382;208;2;2;760;376
B1;1;120314;NB;France;AM;M;NH;M1;11;P_11;;92;40;;28;5371;1;0;235;0;3;0;2568;0
B1;1;120314;NB;France;AM;F;NH;F1;12;P_12;;37;21;;28;5371;0;0;0;0;0;0;0;0
B1;1;120314;NB;France;AM;C;NH;C2;13;P_13;;63;32;;28;5371;0;0;0;0;2;1;1779;193
B1;1;120314;NB;France;AM;M;NH;M2;14;P_14;;69;21;;28;5371;0;0;0;0;3;1;1360;172
B1;1;120314;NB;France;AM;F;NH;F2;15;P_15;;38;61;;28;5371;0;0;0;0;1;0;192;0
B1;1;120314;NB;France;AM;C;H;CH;16;P_16;;60;52;;28;5371;0;0;0;0;2;2;2224;1538
B1;1;120314;NB;France;AM;M;H;MH;17;P_17;;70;70;;28;5371;0;0;0;0;4;4;1488;1295
B1;1;120314;NB;France;AM;F;H;FH;18;P_18;;55;58;;28;5371;1;1;1057;334;1;1;757;374
B1;1;120314;NB;France;AM;C;NH;C1;19;P_19;;56;36;;28;5371;4;0;736;0;1;0;606;0
B1;1;120314;NB;France;AM;M;NH;M1;20;P_20;;52;51;;28;5371;0;0;0;0;5;1;2138;527
B1;1;120314;NB;France;AM;F;NH;F1;21;P_21;;46;43;;28;5371;1;1;943;512;2;1;1335;787
B1;1;120314;NB;France;AM;C;NH;C2;22;P_22;;42;40;;28;5371;3;2;1329;542;4;1;1128;194
B1;1;120314;NB;France;AM;M;NH;M2;23;P_23;;31;27;;28;5371;2;1;811;200;2;0;273;0
B1;1;120314;NB;France;AM;F;NH;F2;24;P_24;;62;61;;28;5371;2;1;914;326;3;2;2312;567
