block,trays ,session,linetype,hybridity,line,FOCAL_ID,Selfed,wf1,wf2,wf3,wf4,wp1 ,wp2,wa3 ,wa4,mwf1w_5sessions,mwf1week,mwf2week,W,Wpruned,eggcounter1,eggs1 ,eggcounter2,eggs2 ,BBcounter2,survfocal2 ,unhatched2,deadfocal2 ,eggcounter3,eggs3 ,BBcounter3,survfocal3 ,unhatched3,deadfocal3 ,eggcounter3_alb,albinoeggs3 ,BBcounter3_alb,survalbino3_but_pigm ,survalbino3 ,unhatched3_alb,deadalbino3 
B1,France,AM,C,NH,C1,1,no,61,61,68,64,44,42,31,29,61,61,66,64,64,NB,0,TJ,52,NB,27,8,25,NB,85,TJ,47,38,38,NB,11,TJ,0,5,1,6
B1,France,AM,M,NH,M1,2,no,65,70,74,77,54,51,34,35,68,68,76,72,72,NB,0,TJ,53,NB,38,6,15,NB,,TJ,,,,NB,0,TJ,0,0,0,0
B1,France,AM,F,NH,F1,3,no,31,27,26,26,58,58,22,23,29,29,26,28,,NB,0,TJ,0,NB,0,0,0,NB,19,TJ,6,3,13,NB,0,TJ,0,0,0,0
B1,France,AM,C,NH,C2,4,no,42,42,46,49,44,50,22,21,42,42,48,45,45,NB,0,TJ,11,NB,7,0,4,NB,56,TJ,54,2,2,NB,0,TJ,0,0,0,0
B1,France,AM,M,NH,M2,5,no,35,34,37,37,30,26,19,21,35,35,37,36,36,NB,0,TJ,0,NB,0,0,0,NB,0,TJ,0,0,0,NB,0,TJ,0,0,0,0
B1,France,AM,F,NH,F2,6,no,75,69,73,73,51,51,29,27,72,72,73,73,73,NB,92,TJ,70,NB,39,3,31,NB,133,TJ,113,20,20,NB,20,TJ,0,7,4,13
B1,France,AM,C,H,CH,7,no,50,49,59,66,35,33,24,26,50,50,63,56,56,NB,0,TJ,0,NB,0,0,0,NB,93,TJ,90,3,3,NB,27,TJ,6,0,6,21
B1,France,AM,M,H,MH,8,no,65,70,75,78,114,109,18,18,68,68,77,72,72,NB,0,TJ,0,NB,0,0,0,NB,54,TJ,51,3,3,NB,0,TJ,0,0,0,0
B1,France,AM,F,H,FH,9,no,29,29,32,32,40,42,26,29,29,29,32,31,31,NB,0,TJ,0,NB,0,0,0,NB,0,TJ,0,0,0,NB,9,TJ,0,4,0,5
B1,France,AM,C,NH,C1,10,no,37,40,46,48,66,68,23,20,39,39,47,43,43,NB,55,TJ,26,NB,25,1,1,NB,49,TJ,29,12,20,NB,3,TJ,0,0,2,3
B1,France,AM,M,NH,M1,11,no,92,80,90,94,40,38,18,16,86,86,92,89,89,NB,0,TJ,47,NB,40,2,7,NB,103,TJ,84,19,19,NB,0,TJ,0,0,0,0
B1,France,AM,F,NH,F1,12,no,37,36,37,38,21,21,26,27,37,37,38,37,37,NB,0,TJ,0,NB,0,0,0,NB,32,TJ,27,5,5,NB,0,TJ,0,0,0,0
B1,France,AM,C,NH,C2,13,no,63,62,65,63,32,31,28,34,63,63,64,63,63,NB,0,TJ,0,NB,0,0,0,NB,0,TJ,0,0,0,NB,41,TJ,20,0,0,21
B1,France,AM,M,NH,M2,14,no,69,68,77,74,21,22,17,19,69,69,76,72,72,NB,0,TJ,0,NB,0,0,0,NB,0,TJ,0,0,0,NB,7,TJ,3,0,0,4
B1,France,AM,F,NH,F2,15,no,38,41,45,47,61,62,30,29,40,40,46,43,43,NB,36,TJ,33,NB,22,9,11,NB,73,TJ,27,31,46,NB,0,TJ,0,0,0,0
B1,France,AM,C,H,CH,16,no,60,58,67,70,52,54,40,43,59,59,69,64,64,NB,0,TJ,57,NB,51,2,6,NB,67,TJ,61,6,6,NB,91,TJ,62,7,10,22
B1,France,AM,M,H,MH,17,no,70,68,76,77,70,78,31,35,69,69,77,73,73,NB,0,TJ,44,NB,41,3,3,NB,38,TJ,36,2,2,NB,63,TJ,53,4,1,6
B1,France,AM,F,H,FH,18,no,55,55,60,62,58,59,39,39,55,55,61,58,58,NB,30,TJ,45,NB,30,8,15,NB,70,TJ,33,36,37,NB,33,TJ,0,29,2,4
B1,France,AM,C,NH,C1,19,no,56,61,57,60,36,36,43,41,59,59,59,59,59,NB,41,TJ,39,NB,37,0,2,NB,91,TJ,90,1,1,NB,77,TJ,3,47,0,27
B1,France,AM,M,NH,M1,20,no,52,54,59,64,51,55,33,37,53,53,62,57,57,NB,0,TJ,0,NB,0,0,0,NB,56,TJ,52,4,4,NB,49,TJ,0,34,8,15
B1,France,AM,F,NH,F1,21,no,46,43,47,51,43,43,45,45,45,45,49,47,47,NB,0,TJ,19,NB,11,6,8,NB,51,TJ,16,24,35,NB,79,TJ,3,35,4,41
B1,France,AM,C,NH,C2,22,no,42,43,48,47,40,37,36,32,43,43,48,45,45,NB,0,TJ,0,NB,0,0,0,NB,41,TJ,39,2,2,NB,57,TJ,0,12,7,45
B1,France,AM,M,NH,M2,23,no,31,28,47,51,27,27,26,29,30,30,49,39,39,NB,0,TJ,0,NB,0,0,0,NB,42,TJ,41,1,1,NB,47,TJ,10,21,3,16
B1,France,AM,F,NH,F2,24,no,62,58,66,65,61,60,28,29,60,60,66,63,63,NB,79,TJ,58,NB,2,3,56,NB,57,TJ,45,12,12,NB,11,TJ,11,0,0,0
B1,France,AM,C,H,CH,25,no,73,69,88,92,54,57,32,29,71,71,90,81,81,NB,44,TJ,64,NB,51,1,13,NB,91,TJ,88,3,3,NB,61,TJ,43,0,2,18
B1,France,AM,M,H,MH,26,no,76,66,80,81,81,84,34,37,71,71,81,76,76,NB,46,TJ,53,NB,48,0,5,NB,52,TJ,48,4,4,NB,0,TJ,0,0,0,0
B1,France,AM,F,H,FH,27,no,28,29,36,41,32,32,31,35,29,29,39,34,34,NB,0,TJ,0,NB,0,0,0,NB,44,TJ,42,2,2,NB,0,TJ,0,0,0,0
B1,France,AM,C,NH,C1,28,no,56,57,,,24,23,,,57,57,,,,NB,32,TJ,0,NB,0,0,0,NB,,TJ,,,,NB,52,TJ,32,0,3,20
B1,France,AM,M,NH,M1,29,no,55,56,66,68,32,31,34,33,56,56,67,61,61,NB,0,TJ,66,NB,21,26,45,NB,39,TJ,11,25,28,NB,0,TJ,0,0,0,0
B1,France,AM,F,NH,F1,30,no,43,41,48,51,48,48,31,34,42,42,50,46,46,NB,0,TJ,31,NB,19,10,12,NB,39,TJ,37,2,2,NB,0,TJ,0,0,0,0
B1,Germany,AM,C,NH,C2,31,no,37,28,35,39,75,66,26,24,33,33,37,35,35,TJ,0,TJ,0,NB,0,0,0,NB,11,NB,0,8,11,NB,17,NB,11,0,6,6
B1,Germany,AM,M,NH,M2,32,no,38,35,41,46,43,49,22,1,37,37,44,40,40,TJ,0,TJ,0,NB,0,0,0,NB,0,NB,0,0,0,NB,0,NB,0,0,0,0
B1,Germany,AM,F,NH,F2,33,no,67,72,82,72,45,52,26,24,70,70,77,73,73,TJ,45,TJ,51,NB,28,9,23,NB,47,NB,35,11,12,NB,0,NB,0,0,0,0
B1,Germany,AM,C,H,CH,34,no,53,56,55,121,65,70,32,35,55,55,88,71,71,TJ,0,TJ,18,NB,16,0,2,NB,95,NB,28,57,67,NB,0,NB,0,0,0,0
B1,Germany,AM,M,H,MH,35,no,95,94,,,37,39,21,19,95,95,,,,TJ,33,TJ,49,NB,34,11,15,NB,5,NB,3,0,2,NB,0,NB,0,0,0,0
B1,Germany,AM,F,H,FH,36,no,38,40,56,61,42,42,32,30,39,39,59,49,49,TJ,0,TJ,0,NB,0,0,0,NB,59,NB,0,59,59,NB,0,NB,0,0,0,0
B1,Germany,AM,C,NH,C1,37,no,52,50,,,63,59,,,51,51,,,,TJ,22,TJ,,NB,,,,NB,,NB,,,,NB,,NB,,,,
B1,Germany,AM,M,NH,M1,38,no,50,56,56,,81,80,23,21,53,53,56,,,TJ,23,TJ,22,NB,8,1,14,NB,0,NB,0,0,0,NB,0,NB,0,0,0,0
B1,Germany,AM,F,NH,F1,39,no,61,51,52,58,30,26,14,,56,56,55,56,56,TJ,0,TJ,61,NB,7,25,54,NB,77,NB,57,7,20,NB,,NB,,,,
B1,Germany,AM,C,NH,C2,40,no,25,23,53,59,52,46,26,23,24,24,56,40,40,TJ,0,TJ,0,NB,0,0,0,NB,54,NB,44,4,10,NB,1,NB,0,1,0,0
B1,Germany,AM,M,NH,M2,41,no,48,40,52,57,28,27,22,20,44,44,55,49,49,TJ,0,TJ,0,NB,0,0,0,NB,13,NB,10,0,3,NB,0,NB,0,0,0,0
B1,Germany,AM,F,NH,F2,42,no,54,51,52,57,63,65,24,21,53,53,55,54,54,TJ,25,TJ,33,NB,27,6,6,NB,67,NB,43,10,24,NB,0,NB,0,0,0,0
B1,Germany,AM,C,H,CH,43,no,64,57,58,61,49,41,22,21,61,61,60,60,60,TJ,23,TJ,57,NB,38,0,19,NB,62,NB,44,2,18,NB,6,NB,0,1,1,5
B1,Germany,AM,M,H,MH,44,no,103,93,112,122,92,87,20,18,98,98,117,108,108,TJ,103,TJ,59,NB,12,9,47,NB,106,NB,76,3,30,NB,0,NB,0,0,0,0
B1,Germany,AM,F,H,FH,45,no,55,56,69,67,48,43,51,48,56,56,68,62,62,TJ,4,TJ,26,NB,8,1,18,NB,67,NB,53,5,14,NB,59,NB,0,25,17,34
B1,Germany,AM,C,NH,C1,46,no,65,70,60,64,51,40,36,38,68,68,62,65,65,TJ,9,TJ,12,NB,4,2,8,NB,61,NB,34,13,27,NB,0,NB,0,0,0,0
B1,Germany,AM,M,NH,M1,47,no,44,44,48,49,94,98,41,38,44,44,49,46,,TJ,0,TJ,0,NB,0,0,0,NB,6,NB,3,1,3,NB,79,NB,42,4,1,33
B1,Germany,AM,F,NH,F1,48,no,37,39,38,41,27,29,28,28,38,38,40,39,39,TJ,0,TJ,14,NB,0,9,14,NB,37,NB,34,3,3,NB,36,NB,0,19,10,17
B1,Germany,AM,C,NH,C2,49,no,40,39,40,42,27,25,39,41,40,40,41,40,40,TJ,0,TJ,25,NB,6,0,19,NB,51,NB,25,14,26,NB,71,NB,46,6,12,19
B1,Germany,AM,M,NH,M2,50,no,36,29,42,45,18,19,29,29,33,33,44,38,38,TJ,0,TJ,0,NB,0,0,0,NB,0,NB,0,0,0,NB,33,NB,17,13,3,3
B1,Germany,AM,F,NH,F2,51,no,45,43,46,45,26,24,22,22,44,44,46,45,45,TJ,0,TJ,0,NB,0,0,0,NB,0,NB,0,0,0,NB,29,NB,1,10,8,18
B1,Germany,AM,C,H,CH,52,no,70,71,82,86,60,54,37,32,71,71,84,77,77,TJ,55,TJ,72,NB,0,45,72,NB,108,NB,83,15,25,NB,51,NB,35,2,1,14
B1,Germany,AM,M,H,MH,53,no,77,76,89,92,42,38,37,32,77,77,91,84,84,TJ,0,TJ,53,NB,35,4,18,NB,97,NB,83,1,14,NB,59,NB,57,0,2,2
B1,Germany,AM,F,H,FH,54,no,46,47,,,21,18,,,47,47,,,,TJ,0,TJ,,NB,,,,NB,,NB,,,,NB,,NB,,,,
B1,Germany,AM,C,NH,C1,55,no,35,32,40,40,38,38,35,34,34,34,40,37,37,TJ,0,TJ,0,NB,0,0,0,NB,0,NB,0,0,0,NB,64,NB,36,0,0,28
B1,Germany,AM,M,NH,M1,56,no,60,55,,,82,80,,,58,58,,,,TJ,0,TJ,,NB,,,,NB,,NB,,,,NB,,NB,,,,
B1,Germany,AM,F,NH,F1,57,no,25,24,24,24,76,75,39,40,25,25,24,24,,TJ,0,TJ,0,NB,0,0,0,NB,13,NB,10,1,3,NB,2,NB,0,0,1,2
B1,Germany,AM,C,NH,C2,58,no,55,57,51,57,20,20,35,33,56,56,54,55,55,TJ,0,TJ,19,NB,11,1,8,NB,78,NB,63,2,15,NB,9,NB,7,0,0,2
B1,Germany,AM,M,NH,M2,59,no,23,24,34,39,20,18,26,26,24,24,37,30,,TJ,0,TJ,0,NB,0,0,0,NB,0,NB,0,0,0,NB,51,NB,47,0,1,4
B1,Germany,AM,F,NH,F2,60,no,63,56,59,68,33,32,40,41,60,60,64,62,62,TJ,42,TJ,62,NB,19,26,43,NB,91,NB,33,45,58,NB,0,NB,0,0,0,0
B1,Japan,AM,C,H,CH,61,no,32,43,32,32,45,43,32,31,38,38,32,35,,EC,0,TJ,0,EC,0,0,0,NB,8,PD,7,1,1,NB,20,PD,20,0,0,0
B1,Japan,AM,M,H,MH,62,no,89,91,106,109,118,109,36,37,90,90,108,99,99,EC,0,TJ,86,EC,54,3,32,NB,86,PD,74,4,12,NB,15,PD,0,12,0,3
B1,Japan,AM,F,H,FH,63,no,49,47,47,56,52,56,24,19,48,48,52,50,50,EC,0,TJ,28,EC,11,12,17,NB,19,PD,4,12,15,NB,0,PD,0,0,0,0
B1,Japan,AM,C,NH,C1,64,no,45,43,47,51,59,63,25,25,44,44,49,47,47,EC,42,TJ,30,EC,24,2,6,NB,72,PD,69,2,3,NB,0,PD,0,0,0,0
B1,Japan,AM,M,NH,M1,65,no,54,,,,,,,,54,54,,,,EC,,TJ,,EC,,,,NB,,PD,,,,NB,,PD,,,,
