ind;bloc;focal;treatment;hybridity;linetype;focalweight;mateweight;layingdays;selfedbeforepairingF;clutchesF;eggsF;viableeggsF;quicomptelesoeufs;babiesF;unhatchedF;whocountsbabiesF;qualityF;correctedeggsf;layingdaysA;clutchesA;eggsA;viableeggsA;whocountseggsA;PbabiesA;AbabiesA;PunhachedA;AunhatchedA;unknownunhatchedA;whocountsbabiesA;correctedeggsA
1;A;P1;HT;H;T;55;51;4;no;5;101;101;EC;72;30;PD;0;102;4;5;95;95;EC;26;11;35;17;2;PD;95
2;A;P2;HM;H;M;34;69;4;no;0;0;0;EC;0;0;PD;0;0;4;4;80;80;EC;18;8;32;18;7;PD;83
3;A;P3;T1;NH;T;70;52;4;no;3;77;77;EC;65;5;PD;0;77;4;4;49;49;EC;1;1;14;10;0;PD;49
4;A;P4;F1;NH;F;88;30;4;no;7;137;137;EC;0;38;PD;2;137;4;4;52;52;EC;0;16;0;34;0;PD;52
5;A;P5;HF;H;F;62;43;4;no;5;105;105;EC;1;29;PD;2;105;4;6;73;73;EC;1;33;0;33;1;PD;73
6;A;P6;F2;NH;F;70;30;4;no;4;94;94;EC;12;27;PD;2;94;4;4;31;31;EC;0;11;0;11;1;PD;31
7;A;P7;T2;NH;T;59;45;4;no;4;68;68;EC;0;7;PD;2;68;4;6;72;72;EC;5;10;29;18;2;PD;72
8;A;P8;M1;NH;M;79;29;4;no;5;107;107;EC;0;2;PD;2;107;4;4;41;41;EC;3;7;0;4;12;PD;41
9;A;P9;M2;NH;M;86;52;4;no;8;147;147;EC;0;30;PD;2;147;4;5;70;70;EC;1;5;14;34;4;PD;70
10;A;P10;HT;H;T;42;48;4;no;5;71;71;EC;0;6;PD;2;71;4;8;69;69;EC;3;4;26;31;2;PD;69
11;A;P11;HM;H;M;89;61;4;no;4;76;76;EC;0;31;PD;2;76;4;4;68;45;EC;33;10;5;5;0;PD;53
12;A;P12;T1;NH;T;84;47;4;no;5;97;97;EC;4;1;PD;2;97;4;6;82;82;EC;29;12;20;6;13;PD;82
13;A;P13;F1;NH;F;83;27;4;no;10;161;161;EC;52;26;PD;1;161;4;3;37;37;EC;0;31;0;1;0;PD;37
14;A;P14;HF;H;F;56;43;4;no;4;67;67;EC;6;6;PD;2;67;4;5;62;62;EC;36;10;11;3;0;PD;62
15;A;P15;F2;NH;F;89;34;4;no;3;76;76;EC;0;12;PD;2;76;4;5;57;57;EC;0;48;0;0;0;PD;57
16;A;P16;T2;NH;T;75;53;4;no;9;117;117;EC;2;20;PD;2;117;4;4;51;51;EC;17;13;0;5;2;PD;51
17;A;P17;M1;NH;M;102;45;4;no;3;75;75;EC;54;0;PD;0;75;4;6;73;73;EC;63;0;0;0;0;PD;73
18;A;P18;M2;NH;M;81;49;4;no;7;135;135;EC;2;8;PD;2;135;4;5;72;72;EC;22;31;2;3;0;PD;72
