rep_population,regime,type,regimetype,female,age,dead
RP1,aFLX,2X,aFLX2X,1,82,0
RP1,aFLX,2X,aFLX2X,2,66,1
RP1,aFLX,2X,aFLX2X,3,66,1
RP1,aFLX,2X,aFLX2X,4,71,1
RP1,aFLX,2X,aFLX2X,5,72,1
RP1,aFLX,2X,aFLX2X,6,35,1
RP1,aFLX,2X,aFLX2X,7,53,1
RP1,aFLX,2X,aFLX2X,8,41,1
RP1,aFLX,2X,aFLX2X,9,71,1
RP1,aFLX,2X,aFLX2X,10,69,1
RP1,aFLX,2X,aFLX2X,11,35,1
RP1,aFLX,2X,aFLX2X,12,55,1
RP1,aFLX,2X,aFLX2X,13,69,1
RP1,aFLX,2X,aFLX2X,14,13,1
RP1,aFLX,2X,aFLX2X,15,46,1
RP1,aFLX,2X,aFLX2X,16,41,1
RP1,aFLX,2X,aFLX2X,17,69,1
RP1,aFLX,2X,aFLX2X,18,35,1
RP1,aFLX,2X,aFLX2X,19,69,1
RP1,aFLX,2X,aFLX2X,20,36,1
RP1,aFLX,2X,aFLX2X,21,62,1
RP1,aFLX,2X,aFLX2X,22,35,1
RP1,aFLX,2X,aFLX2X,23,62,1
RP1,aFLX,2X,aFLX2X,24,6,1
RP1,aFLX,2X,aFLX2X,25,1,1
RP1,aFLX,2X,aFLX2X,26,41,1
RP1,aFLX,2X,aFLX2X,27,47,1
RP1,aFLX,2X,aFLX2X,28,71,1
RP1,aFLX,2X,aFLX2X,29,62,1
RP1,aFLX,2X,aFLX2X,30,24,1
RP1,aFLX,2X,aFLX2X,31,66,1
RP1,aFLX,2X,aFLX2X,32,2,1
RP1,aFLX,2X,aFLX2X,33,59,1
RP1,aFLX,2X,aFLX2X,34,61,1
RP1,aFLX,2X,aFLX2X,35,61,1
RP1,aFLX,1X,bFLX1X,1,73,1
RP1,aFLX,1X,bFLX1X,2,NA,NA
RP1,aFLX,1X,bFLX1X,3,73,1
RP1,aFLX,1X,bFLX1X,4,73,1
RP1,aFLX,1X,bFLX1X,5,NA,NA
RP1,aFLX,1X,bFLX1X,6,NA,NA
RP1,aFLX,1X,bFLX1X,7,NA,NA
RP1,aFLX,1X,bFLX1X,8,NA,NA
RP1,aFLX,1X,bFLX1X,9,82,0
RP1,aFLX,1X,bFLX1X,10,78,1
RP1,aFLX,1X,bFLX1X,11,NA,NA
RP1,aFLX,1X,bFLX1X,12,65,1
RP1,aFLX,1X,bFLX1X,13,NA,NA
RP1,aFLX,1X,bFLX1X,14,61,1
RP1,aFLX,1X,bFLX1X,15,54,1
RP1,aFLX,1X,bFLX1X,16,48,1
RP1,aFLX,1X,bFLX1X,17,52,1
RP1,aFLX,1X,bFLX1X,18,69,1
RP1,aFLX,1X,bFLX1X,19,76,1
RP1,aFLX,1X,bFLX1X,20,67,1
RP1,aFLX,1X,bFLX1X,21,82,0
RP1,aFLX,1X,bFLX1X,22,73,1
RP1,aFLX,1X,bFLX1X,23,66,1
RP1,aFLX,1X,bFLX1X,24,64,1
RP1,aFLX,1X,bFLX1X,25,74,1
RP1,aFLX,1X,bFLX1X,26,82,0
RP1,aFLX,1X,bFLX1X,27,38,1
RP1,aFLX,1X,bFLX1X,28,53,1
RP1,aFLX,1X,bFLX1X,29,32,1
RP1,aFLX,1X,bFLX1X,30,38,1
RP1,aFLX,1X,bFLX1X,31,69,1
RP1,aFLX,1X,bFLX1X,32,74,1
RP1,aFLX,1X,bFLX1X,33,76,1
RP1,aFLX,1X,bFLX1X,34,61,1
RP1,aFLX,1X,bFLX1X,35,69,1
RP1,bCFM,2X,cCFM2X,1,38,1
RP1,bCFM,2X,cCFM2X,2,54,1
RP1,bCFM,2X,cCFM2X,3,62,1
RP1,bCFM,2X,cCFM2X,4,73,1
RP1,bCFM,2X,cCFM2X,5,48,1
RP1,bCFM,2X,cCFM2X,6,82,0
RP1,bCFM,2X,cCFM2X,7,82,0
RP1,bCFM,2X,cCFM2X,8,75,1
RP1,bCFM,2X,cCFM2X,9,36,1
RP1,bCFM,2X,cCFM2X,10,27,1
RP1,bCFM,2X,cCFM2X,11,62,1
RP1,bCFM,2X,cCFM2X,12,54,1
RP1,bCFM,2X,cCFM2X,13,69,1
RP1,bCFM,2X,cCFM2X,14,68,1
RP1,bCFM,2X,cCFM2X,15,35,1
RP1,bCFM,2X,cCFM2X,16,68,1
RP1,bCFM,2X,cCFM2X,17,37,1
RP1,bCFM,2X,cCFM2X,18,39,1
RP1,bCFM,2X,cCFM2X,19,71,1
RP1,bCFM,2X,cCFM2X,20,61,1
RP1,bCFM,2X,cCFM2X,21,41,1
RP1,bCFM,2X,cCFM2X,22,36,1
RP1,bCFM,2X,cCFM2X,23,62,1
RP1,bCFM,2X,cCFM2X,24,74,1
RP1,bCFM,2X,cCFM2X,25,69,1
RP1,bCFM,2X,cCFM2X,26,62,1
RP1,bCFM,2X,cCFM2X,27,76,1
RP1,bCFM,2X,cCFM2X,28,64,1
RP1,bCFM,2X,cCFM2X,29,48,1
RP1,bCFM,2X,cCFM2X,30,64,1
RP1,bCFM,2X,cCFM2X,31,74,1
RP1,bCFM,2X,cCFM2X,32,10,1
RP1,bCFM,2X,cCFM2X,33,59,1
RP1,bCFM,2X,cCFM2X,34,66,1
RP1,bCFM,2X,cCFM2X,35,39,1
RP1,bCFM,1X,dCFM1X,1,29,1
RP1,bCFM,1X,dCFM1X,2,50,1
RP1,bCFM,1X,dCFM1X,3,68,1
RP1,bCFM,1X,dCFM1X,4,80,1
RP1,bCFM,1X,dCFM1X,5,68,1
RP1,bCFM,1X,dCFM1X,6,74,1
RP1,bCFM,1X,dCFM1X,7,69,1
RP1,bCFM,1X,dCFM1X,8,71,1
RP1,bCFM,1X,dCFM1X,9,69,1
RP1,bCFM,1X,dCFM1X,10,61,1
RP1,bCFM,1X,dCFM1X,11,68,1
RP1,bCFM,1X,dCFM1X,12,71,1
RP1,bCFM,1X,dCFM1X,13,45,1
RP1,bCFM,1X,dCFM1X,14,82,0
RP1,bCFM,1X,dCFM1X,15,79,1
RP1,bCFM,1X,dCFM1X,16,76,1
RP1,bCFM,1X,dCFM1X,17,81,1
RP1,bCFM,1X,dCFM1X,18,59,1
RP1,bCFM,1X,dCFM1X,19,67,1
RP1,bCFM,1X,dCFM1X,20,72,1
RP1,bCFM,1X,dCFM1X,21,54,1
RP1,bCFM,1X,dCFM1X,22,80,1
RP1,bCFM,1X,dCFM1X,23,64,1
RP1,bCFM,1X,dCFM1X,24,48,1
RP1,bCFM,1X,dCFM1X,25,38,1
RP1,bCFM,1X,dCFM1X,26,45,1
RP1,bCFM,1X,dCFM1X,27,78,1
RP1,bCFM,1X,dCFM1X,28,74,1
RP1,bCFM,1X,dCFM1X,29,3,1
RP1,bCFM,1X,dCFM1X,30,72,1
RP1,bCFM,1X,dCFM1X,31,55,1
RP1,bCFM,1X,dCFM1X,32,33,1
RP1,bCFM,1X,dCFM1X,33,67,1
RP1,bCFM,1X,dCFM1X,34,62,1
RP1,bCFM,1X,dCFM1X,35,82,0
RP1,cCwt,0X,eCwt,1,16,1
RP1,cCwt,0X,eCwt,2,55,1
RP1,cCwt,0X,eCwt,3,71,1
RP1,cCwt,0X,eCwt,4,68,1
RP1,cCwt,0X,eCwt,5,37,1
RP1,cCwt,0X,eCwt,6,25,1
RP1,cCwt,0X,eCwt,7,64,1
RP1,cCwt,0X,eCwt,8,47,1
RP1,cCwt,0X,eCwt,9,71,1
RP1,cCwt,0X,eCwt,10,78,1
RP1,cCwt,0X,eCwt,11,1,1
RP1,cCwt,0X,eCwt,12,61,1
RP1,cCwt,0X,eCwt,13,75,1
RP1,cCwt,0X,eCwt,14,72,1
RP1,cCwt,0X,eCwt,15,66,1
RP1,cCwt,0X,eCwt,16,50,1
RP1,cCwt,0X,eCwt,17,71,1
RP1,cCwt,0X,eCwt,18,61,1
RP1,cCwt,0X,eCwt,19,33,1
RP1,cCwt,0X,eCwt,20,8,1
RP1,cCwt,0X,eCwt,21,67,1
RP1,cCwt,0X,eCwt,22,35,1
RP1,cCwt,0X,eCwt,23,78,1
RP1,cCwt,0X,eCwt,24,65,1
RP1,cCwt,0X,eCwt,25,33,1
RP1,cCwt,0X,eCwt,26,76,1
RP1,cCwt,0X,eCwt,27,73,1
RP1,cCwt,0X,eCwt,28,73,1
RP1,cCwt,0X,eCwt,29,53,1
RP1,cCwt,0X,eCwt,30,76,1
RP1,cCwt,0X,eCwt,31,68,1
RP1,cCwt,0X,eCwt,32,69,1
RP1,cCwt,0X,eCwt,33,35,1
RP1,cCwt,0X,eCwt,34,58,1
RP1,cCwt,0X,eCwt,35,36,1
RP2,aFLX,2X,aFLX2X,1,27,1
RP2,aFLX,2X,aFLX2X,2,64,1
RP2,aFLX,2X,aFLX2X,3,50,1
RP2,aFLX,2X,aFLX2X,4,36,1
RP2,aFLX,2X,aFLX2X,5,74,1
RP2,aFLX,2X,aFLX2X,6,68,1
RP2,aFLX,2X,aFLX2X,7,48,1
RP2,aFLX,2X,aFLX2X,8,71,1
RP2,aFLX,2X,aFLX2X,9,41,1
RP2,aFLX,2X,aFLX2X,10,61,1
RP2,aFLX,2X,aFLX2X,11,66,1
RP2,aFLX,2X,aFLX2X,12,69,1
RP2,aFLX,2X,aFLX2X,13,71,1
RP2,aFLX,2X,aFLX2X,14,64,1
RP2,aFLX,2X,aFLX2X,15,76,1
RP2,aFLX,2X,aFLX2X,16,67,1
RP2,aFLX,2X,aFLX2X,17,61,1
RP2,aFLX,2X,aFLX2X,18,72,1
RP2,aFLX,2X,aFLX2X,19,50,1
RP2,aFLX,2X,aFLX2X,20,44,1
RP2,aFLX,2X,aFLX2X,21,65,1
RP2,aFLX,2X,aFLX2X,22,74,1
RP2,aFLX,2X,aFLX2X,23,35,1
RP2,aFLX,2X,aFLX2X,24,80,1
RP2,aFLX,2X,aFLX2X,25,53,1
RP2,aFLX,2X,aFLX2X,26,58,1
RP2,aFLX,2X,aFLX2X,27,61,1
RP2,aFLX,2X,aFLX2X,28,33,1
RP2,aFLX,2X,aFLX2X,29,33,1
RP2,aFLX,2X,aFLX2X,30,55,1
RP2,aFLX,2X,aFLX2X,31,74,1
RP2,aFLX,2X,aFLX2X,32,65,1
RP2,aFLX,2X,aFLX2X,33,50,1
RP2,aFLX,2X,aFLX2X,34,69,1
RP2,aFLX,2X,aFLX2X,35,81,1
RP2,aFLX,1X,bFLX1X,1,53,1
RP2,aFLX,1X,bFLX1X,2,61,1
RP2,aFLX,1X,bFLX1X,3,23,1
RP2,aFLX,1X,bFLX1X,4,57,1
