rep_population,regime,type,regimetype,vial,female,age,dead,help
RP1,aFLX,2X,aFLX2X,1,1,4,1,aRP1FLX1
RP1,aFLX,2X,aFLX2X,1,2,4,1,aRP1FLX1
RP1,aFLX,2X,aFLX2X,1,3,6,1,aRP1FLX1
RP1,aFLX,2X,aFLX2X,1,4,13,1,aRP1FLX1
RP1,aFLX,2X,aFLX2X,1,5,33,1,aRP1FLX1
RP1,aFLX,2X,aFLX2X,2,1,6,1,aRP1FLX2
RP1,aFLX,2X,aFLX2X,2,2,25,1,aRP1FLX2
RP1,aFLX,2X,aFLX2X,2,3,30,1,aRP1FLX2
RP1,aFLX,2X,aFLX2X,2,4,37,1,aRP1FLX2
RP1,aFLX,2X,aFLX2X,2,5,38,1,aRP1FLX2
RP1,aFLX,2X,aFLX2X,3,1,9,1,aRP1FLX3
RP1,aFLX,2X,aFLX2X,3,2,13,1,aRP1FLX3
RP1,aFLX,2X,aFLX2X,3,3,27,1,aRP1FLX3
RP1,aFLX,2X,aFLX2X,3,4,41,1,aRP1FLX3
RP1,aFLX,2X,aFLX2X,3,5,47,1,aRP1FLX3
RP1,aFLX,2X,aFLX2X,4,1,2,1,aRP1FLX4
RP1,aFLX,2X,aFLX2X,4,2,19,1,aRP1FLX4
RP1,aFLX,2X,aFLX2X,4,3,19,1,aRP1FLX4
RP1,aFLX,2X,aFLX2X,4,4,26,1,aRP1FLX4
RP1,aFLX,2X,aFLX2X,4,5,41,1,aRP1FLX4
RP1,aFLX,2X,aFLX2X,5,1,1,1,aRP1FLX5
RP1,aFLX,2X,aFLX2X,5,2,5,1,aRP1FLX5
RP1,aFLX,2X,aFLX2X,5,3,19,1,aRP1FLX5
RP1,aFLX,2X,aFLX2X,5,4,43,1,aRP1FLX5
RP1,aFLX,2X,aFLX2X,5,5,47,1,aRP1FLX5
RP1,aFLX,2X,aFLX2X,6,1,2,1,aRP1FLX6
RP1,aFLX,2X,aFLX2X,6,2,6,1,aRP1FLX6
RP1,aFLX,2X,aFLX2X,6,3,9,1,aRP1FLX6
RP1,aFLX,2X,aFLX2X,6,4,20,1,aRP1FLX6
RP1,aFLX,2X,aFLX2X,6,5,NA,NA,aRP1FLX6
RP1,aFLX,2X,aFLX2X,7,1,15,1,aRP1FLX7
RP1,aFLX,2X,aFLX2X,7,2,22,1,aRP1FLX7
RP1,aFLX,2X,aFLX2X,7,3,33,1,aRP1FLX7
RP1,aFLX,2X,aFLX2X,7,4,35,1,aRP1FLX7
RP1,aFLX,2X,aFLX2X,7,5,39,1,aRP1FLX7
RP1,aFLX,1X,bFLX1X,1,1,1,1,aRP1FLX8
RP1,aFLX,1X,bFLX1X,1,2,2,1,aRP1FLX8
RP1,aFLX,1X,bFLX1X,1,3,16,1,aRP1FLX8
RP1,aFLX,1X,bFLX1X,1,4,23,1,aRP1FLX8
RP1,aFLX,1X,bFLX1X,1,5,NA,NA,aRP1FLX8
RP1,aFLX,1X,bFLX1X,2,1,5,1,aRP1FLX9
RP1,aFLX,1X,bFLX1X,2,2,12,1,aRP1FLX9
RP1,aFLX,1X,bFLX1X,2,3,13,1,aRP1FLX9
RP1,aFLX,1X,bFLX1X,2,4,24,1,aRP1FLX9
RP1,aFLX,1X,bFLX1X,2,5,40,1,aRP1FLX9
RP1,aFLX,1X,bFLX1X,3,1,31,1,aRP1FLX10
RP1,aFLX,1X,bFLX1X,3,2,32,1,aRP1FLX10
RP1,aFLX,1X,bFLX1X,3,3,39,1,aRP1FLX10
RP1,aFLX,1X,bFLX1X,3,4,41,1,aRP1FLX10
RP1,aFLX,1X,bFLX1X,3,5,48,0,aRP1FLX10
RP1,aFLX,1X,bFLX1X,4,1,12,1,aRP1FLX11
RP1,aFLX,1X,bFLX1X,4,2,22,1,aRP1FLX11
RP1,aFLX,1X,bFLX1X,4,3,23,1,aRP1FLX11
RP1,aFLX,1X,bFLX1X,4,4,35,1,aRP1FLX11
RP1,aFLX,1X,bFLX1X,4,5,44,1,aRP1FLX11
RP1,aFLX,1X,bFLX1X,5,1,8,1,aRP1FLX12
RP1,aFLX,1X,bFLX1X,5,2,9,1,aRP1FLX12
RP1,aFLX,1X,bFLX1X,5,3,11,1,aRP1FLX12
RP1,aFLX,1X,bFLX1X,5,4,30,1,aRP1FLX12
RP1,aFLX,1X,bFLX1X,5,5,44,1,aRP1FLX12
RP1,aFLX,1X,bFLX1X,6,1,8,1,aRP1FLX13
