rep_population,regime,regimeRP,male,age,dead
RP1,aFLX,aFLXRP1,1,51,1
RP1,aFLX,aFLXRP1,2,69,1
RP1,aFLX,aFLXRP1,3,62,1
RP1,aFLX,aFLXRP1,4,71,1
RP1,aFLX,aFLXRP1,5,60,1
RP1,aFLX,aFLXRP1,6,41,1
RP1,aFLX,aFLXRP1,7,72,1
RP1,aFLX,aFLXRP1,8,17,1
RP1,aFLX,aFLXRP1,9,53,1
RP1,aFLX,aFLXRP1,10,48,1
RP1,aFLX,aFLXRP1,11,79,0
RP1,aFLX,aFLXRP1,12,62,1
RP1,aFLX,aFLXRP1,13,69,1
RP1,aFLX,aFLXRP1,14,61,1
RP1,aFLX,aFLXRP1,15,71,1
RP1,aFLX,aFLXRP1,16,69,1
RP1,aFLX,aFLXRP1,17,69,1
RP1,aFLX,aFLXRP1,18,36,1
RP1,aFLX,aFLXRP1,19,53,1
RP1,aFLX,aFLXRP1,20,62,1
RP1,aFLX,aFLXRP1,21,64,1
RP1,aFLX,aFLXRP1,22,69,1
RP1,aFLX,aFLXRP1,23,59,1
RP1,aFLX,aFLXRP1,24,62,1
RP1,aFLX,aFLXRP1,25,61,1
RP1,aFLX,aFLXRP1,26,NA,NA
RP1,aFLX,aFLXRP1,27,69,1
RP1,aFLX,aFLXRP1,28,75,1
RP1,aFLX,aFLXRP1,29,46,1
RP1,aFLX,aFLXRP1,30,50,1
RP1,aFLX,aFLXRP1,31,50,1
RP1,aFLX,aFLXRP1,32,45,1
RP1,aFLX,aFLXRP1,33,60,1
RP1,aFLX,aFLXRP1,34,55,1
RP1,aFLX,aFLXRP1,35,64,1
RP1,bCFM,bCFMRP1,1,69,1
RP1,bCFM,bCFMRP1,2,74,1
RP1,bCFM,bCFMRP1,3,79,0
RP1,bCFM,bCFMRP1,4,73,1
RP1,bCFM,bCFMRP1,5,54,1
RP1,bCFM,bCFMRP1,6,72,1
RP1,bCFM,bCFMRP1,7,67,1
RP1,bCFM,bCFMRP1,8,78,1
RP1,bCFM,bCFMRP1,9,51,1
RP1,bCFM,bCFMRP1,10,43,1
RP1,bCFM,bCFMRP1,11,55,1
RP1,bCFM,bCFMRP1,12,69,1
RP1,bCFM,bCFMRP1,13,50,1
RP1,bCFM,bCFMRP1,14,69,1
RP1,bCFM,bCFMRP1,15,52,1
RP1,bCFM,bCFMRP1,16,62,1
RP1,bCFM,bCFMRP1,17,45,1
RP1,bCFM,bCFMRP1,18,59,1
RP1,bCFM,bCFMRP1,19,41,1
RP1,bCFM,bCFMRP1,20,62,1
RP1,bCFM,bCFMRP1,21,64,1
RP1,bCFM,bCFMRP1,22,66,1
RP1,bCFM,bCFMRP1,23,41,1
RP1,bCFM,bCFMRP1,24,61,1
RP1,bCFM,bCFMRP1,25,69,1
RP1,bCFM,bCFMRP1,26,71,1
RP1,bCFM,bCFMRP1,27,61,1
RP1,bCFM,bCFMRP1,28,35,1
RP1,bCFM,bCFMRP1,29,40,1
RP1,bCFM,bCFMRP1,30,30,1
RP1,bCFM,bCFMRP1,31,50,1
RP1,bCFM,bCFMRP1,32,52,1
RP1,bCFM,bCFMRP1,33,60,1
RP1,bCFM,bCFMRP1,34,69,1
RP1,bCFM,bCFMRP1,35,54,1
RP1,cCwt,cCwtRP1,1,61,1
RP1,cCwt,cCwtRP1,2,44,1
RP1,cCwt,cCwtRP1,3,73,1
RP1,cCwt,cCwtRP1,4,53,1
RP1,cCwt,cCwtRP1,5,37,1
RP1,cCwt,cCwtRP1,6,60,1
RP1,cCwt,cCwtRP1,7,65,1
RP1,cCwt,cCwtRP1,8,71,1
RP1,cCwt,cCwtRP1,9,33,1
RP1,cCwt,cCwtRP1,10,59,1
RP1,cCwt,cCwtRP1,11,61,1
RP1,cCwt,cCwtRP1,12,69,1
RP1,cCwt,cCwtRP1,13,32,1
RP1,cCwt,cCwtRP1,14,79,0
RP1,cCwt,cCwtRP1,15,35,1
RP1,cCwt,cCwtRP1,16,71,1
RP1,cCwt,cCwtRP1,17,74,1
RP1,cCwt,cCwtRP1,18,68,1
RP1,cCwt,cCwtRP1,19,69,1
RP1,cCwt,cCwtRP1,20,71,1
RP1,cCwt,cCwtRP1,21,55,1
RP1,cCwt,cCwtRP1,22,37,1
RP1,cCwt,cCwtRP1,23,64,1
RP1,cCwt,cCwtRP1,24,65,1
RP1,cCwt,cCwtRP1,25,51,1
RP1,cCwt,cCwtRP1,26,62,1
RP1,cCwt,cCwtRP1,27,62,1
RP1,cCwt,cCwtRP1,28,62,1
RP1,cCwt,cCwtRP1,29,62,1
RP1,cCwt,cCwtRP1,30,35,1
RP1,cCwt,cCwtRP1,31,55,1
RP1,cCwt,cCwtRP1,32,62,1
RP1,cCwt,cCwtRP1,33,69,1
RP1,cCwt,cCwtRP1,34,48,1
RP1,cCwt,cCwtRP1,35,78,1
RP2,aFLX,dFLXRP2,1,43,1
RP2,aFLX,dFLXRP2,2,73,1
RP2,aFLX,dFLXRP2,3,41,1
RP2,aFLX,dFLXRP2,4,60,1
RP2,aFLX,dFLXRP2,5,78,1
RP2,aFLX,dFLXRP2,6,53,1
RP2,aFLX,dFLXRP2,7,71,1
RP2,aFLX,dFLXRP2,8,31,1
RP2,aFLX,dFLXRP2,9,55,1
RP2,aFLX,dFLXRP2,10,6,1
RP2,aFLX,dFLXRP2,11,48,1
RP2,aFLX,dFLXRP2,12,62,1
RP2,aFLX,dFLXRP2,13,60,1
RP2,aFLX,dFLXRP2,14,65,1
RP2,aFLX,dFLXRP2,15,50,1
