rep_population,regime,bacterium,block,vial,female,age,dead
RP1,aFLX,aNaive,A,1,1,168,0
RP1,aFLX,aNaive,A,1,2,168,0
RP1,aFLX,aNaive,A,1,3,168,0
RP1,aFLX,aNaive,A,1,4,168,0
RP1,aFLX,aNaive,A,1,5,168,0
RP1,aFLX,aNaive,A,2,1,144,1
RP1,aFLX,aNaive,A,2,2,168,0
RP1,aFLX,aNaive,A,2,3,168,0
RP1,aFLX,aNaive,A,2,4,168,0
RP1,aFLX,aNaive,A,2,5,168,0
RP1,aFLX,aNaive,B,1,1,168,0
RP1,aFLX,aNaive,B,1,2,168,0
RP1,aFLX,aNaive,B,1,3,168,0
RP1,aFLX,aNaive,B,1,4,168,0
RP1,aFLX,aNaive,B,1,5,168,0
RP1,aFLX,aNaive,B,2,1,168,0
RP1,aFLX,aNaive,B,2,2,168,0
RP1,aFLX,aNaive,B,2,3,168,0
RP1,aFLX,aNaive,B,2,4,168,0
RP1,aFLX,aNaive,B,2,5,168,0
RP1,aFLX,bWounded,A,1,1,168,0
RP1,aFLX,bWounded,A,1,2,168,0
RP1,aFLX,bWounded,A,1,3,168,0
RP1,aFLX,bWounded,A,1,4,168,0
RP1,aFLX,bWounded,A,1,5,168,0
RP1,aFLX,bWounded,A,2,1,168,0
RP1,aFLX,bWounded,A,2,2,168,0
RP1,aFLX,bWounded,A,2,3,168,0
RP1,aFLX,bWounded,A,2,4,168,0
RP1,aFLX,bWounded,A,2,5,168,0
RP1,aFLX,bWounded,B,1,1,96,1
RP1,aFLX,bWounded,B,1,2,168,0
RP1,aFLX,bWounded,B,1,3,168,0
RP1,aFLX,bWounded,B,1,4,168,0
RP1,aFLX,bWounded,B,1,5,168,0
RP1,aFLX,bWounded,B,2,1,168,0
RP1,aFLX,bWounded,B,2,2,168,0
RP1,aFLX,bWounded,B,2,3,168,0
RP1,aFLX,bWounded,B,2,4,168,0
RP1,aFLX,bWounded,B,2,5,168,0
RP1,aFLX,cLlactis,A,1,1,144,1
RP1,aFLX,cLlactis,A,1,2,168,0
RP1,aFLX,cLlactis,A,1,3,168,0
RP1,aFLX,cLlactis,A,1,4,168,0
RP1,aFLX,cLlactis,A,1,5,168,0
RP1,aFLX,cLlactis,A,2,1,72,1
RP1,aFLX,cLlactis,A,2,2,72,1
RP1,aFLX,cLlactis,A,2,3,168,0
RP1,aFLX,cLlactis,A,2,4,168,0
RP1,aFLX,cLlactis,A,2,5,168,0
RP1,aFLX,cLlactis,B,1,1,96,1
RP1,aFLX,cLlactis,B,1,2,168,0
RP1,aFLX,cLlactis,B,1,3,168,0
RP1,aFLX,cLlactis,B,1,4,168,0
RP1,aFLX,cLlactis,B,1,5,168,0
RP1,aFLX,cLlactis,B,2,1,168,0
RP1,aFLX,cLlactis,B,2,2,168,0
RP1,aFLX,cLlactis,B,2,3,168,0
RP1,aFLX,cLlactis,B,2,4,168,0
RP1,aFLX,cLlactis,B,2,5,168,0
RP1,aFLX,dPent,A,1,1,24,1
RP1,aFLX,dPent,A,1,2,24,1
RP1,aFLX,dPent,A,1,3,24,1
RP1,aFLX,dPent,A,1,4,48,1
RP1,aFLX,dPent,A,1,5,96,1
RP1,aFLX,dPent,A,2,1,24,1
RP1,aFLX,dPent,A,2,2,24,1
RP1,aFLX,dPent,A,2,3,24,1
RP1,aFLX,dPent,A,2,4,48,1
RP1,aFLX,dPent,A,2,5,48,1
RP1,aFLX,dPent,B,1,1,48,1
RP1,aFLX,dPent,B,1,2,168,1
RP1,aFLX,dPent,B,1,3,168,1
RP1,aFLX,dPent,B,1,4,168,1
RP1,aFLX,dPent,B,2,1,24,1
RP1,aFLX,dPent,B,2,2,24,1
RP1,aFLX,dPent,B,2,3,24,1
RP1,aFLX,dPent,B,2,4,48,1
RP1,aFLX,dPent,B,2,5,48,1
RP1,bCFM,aNaive,A,1,1,168,0
RP1,bCFM,aNaive,A,1,2,168,0
RP1,bCFM,aNaive,A,1,3,168,0
RP1,bCFM,aNaive,A,1,4,168,0
RP1,bCFM,aNaive,A,1,5,168,0
RP1,bCFM,aNaive,A,2,1,168,0
RP1,bCFM,aNaive,A,2,2,168,0
RP1,bCFM,aNaive,A,2,3,168,0
RP1,bCFM,aNaive,A,2,4,168,0
RP1,bCFM,aNaive,A,2,5,168,0
RP1,bCFM,aNaive,B,1,1,168,0
RP1,bCFM,aNaive,B,1,2,168,0
RP1,bCFM,aNaive,B,1,3,168,0
RP1,bCFM,aNaive,B,1,4,168,0
RP1,bCFM,aNaive,B,1,5,168,0
RP1,bCFM,aNaive,B,2,1,168,0
RP1,bCFM,aNaive,B,2,2,168,0
RP1,bCFM,aNaive,B,2,3,168,0
RP1,bCFM,aNaive,B,2,4,168,0
RP1,bCFM,aNaive,B,2,5,168,0
RP1,bCFM,bWounded,A,1,1,168,0
RP1,bCFM,bWounded,A,1,2,168,0
RP1,bCFM,bWounded,A,1,3,168,0
RP1,bCFM,bWounded,A,1,4,168,0
RP1,bCFM,bWounded,A,1,5,168,0
RP1,bCFM,bWounded,A,2,1,168,0
RP1,bCFM,bWounded,A,2,2,168,0
RP1,bCFM,bWounded,A,2,3,168,0
RP1,bCFM,bWounded,A,2,4,168,0
RP1,bCFM,bWounded,A,2,5,168,0
RP1,bCFM,bWounded,B,1,1,168,0
RP1,bCFM,bWounded,B,1,2,168,0
RP1,bCFM,bWounded,B,1,3,168,0
RP1,bCFM,bWounded,B,1,4,168,0
RP1,bCFM,bWounded,B,1,5,168,0
RP1,bCFM,bWounded,B,2,1,168,0
RP1,bCFM,bWounded,B,2,2,168,0
RP1,bCFM,bWounded,B,2,3,168,0
RP1,bCFM,bWounded,B,2,4,168,0
RP1,bCFM,bWounded,B,2,5,168,0
RP1,bCFM,cLlactis,A,1,1,168,1
RP1,bCFM,cLlactis,A,1,2,168,0
RP1,bCFM,cLlactis,A,1,3,168,0
RP1,bCFM,cLlactis,A,1,4,168,0
RP1,bCFM,cLlactis,A,1,5,168,0
RP1,bCFM,cLlactis,A,2,1,96,1
RP1,bCFM,cLlactis,A,2,2,120,1
RP1,bCFM,cLlactis,A,2,3,168,0
RP1,bCFM,cLlactis,A,2,4,168,0
RP1,bCFM,cLlactis,A,2,5,168,0
RP1,bCFM,cLlactis,B,1,1,72,1
RP1,bCFM,cLlactis,B,1,2,168,0
RP1,bCFM,cLlactis,B,1,3,168,0
RP1,bCFM,cLlactis,B,1,4,168,0
RP1,bCFM,cLlactis,B,1,5,168,0
RP1,bCFM,cLlactis,B,2,1,96,1
RP1,bCFM,cLlactis,B,2,2,168,1
RP1,bCFM,cLlactis,B,2,3,168,0
RP1,bCFM,cLlactis,B,2,4,168,0
RP1,bCFM,cLlactis,B,2,5,168,0
RP1,bCFM,dPent,A,1,1,24,1
RP1,bCFM,dPent,A,1,2,24,1
RP1,bCFM,dPent,A,1,3,48,1
RP1,bCFM,dPent,A,1,4,48,1
RP1,bCFM,dPent,A,1,5,48,1
RP1,bCFM,dPent,A,2,1,24,1
RP1,bCFM,dPent,A,2,2,24,1
RP1,bCFM,dPent,A,2,3,24,1
RP1,bCFM,dPent,A,2,4,48,1
RP1,bCFM,dPent,A,2,5,48,1
RP1,bCFM,dPent,B,1,1,24,1
RP1,bCFM,dPent,B,1,2,24,1
RP1,bCFM,dPent,B,1,3,24,1
RP1,bCFM,dPent,B,1,4,24,1
RP1,bCFM,dPent,B,1,5,48,1
RP1,bCFM,dPent,B,2,1,24,1
RP1,bCFM,dPent,B,2,2,24,1
RP1,bCFM,dPent,B,2,3,48,1
RP1,bCFM,dPent,B,2,4,48,1
RP1,bCFM,dPent,B,2,5,48,1
RP1,cCwt,aNaive,A,1,1,168,0
RP1,cCwt,aNaive,A,1,2,168,0
RP1,cCwt,aNaive,A,1,3,168,0
RP1,cCwt,aNaive,A,1,4,168,0
RP1,cCwt,aNaive,A,1,5,168,0
RP1,cCwt,aNaive,A,2,1,168,0
