rep_pop,type,block,vial,red,brown,total,prop_red
RP1,aFLXsex,A,1,0,53,53,0
RP1,aFLXsex,A,2,14,0,14,1
RP1,aFLXsex,A,3,44,0,44,1
RP1,aFLXsex,A,4,0,34,34,0
RP1,aFLXsex,A,5,0,41,41,0
RP1,aFLXsex,A,6,0,74,74,0
RP1,aFLXsex,A,7,0,40,40,0
RP1,aFLXsex,A,8,11,34,45,0.244444444
RP1,aFLXsex,A,9,0,45,45,0
RP1,aFLXsex,A,10,0,38,38,0
RP1,aFLXsex,A,11,0,51,51,0
RP1,aFLXsex,A,12,0,41,41,0
RP1,aFLXsex,A,13,0,40,40,0
RP1,aFLXsex,A,14,0,45,45,0
RP1,aFLXsex,A,15,0,44,44,0
RP1,aFLXsex,A,16,31,0,31,1
RP1,aFLXsex,A,17,0,40,40,0
RP1,aFLXsex,A,18,2,35,37,0.054054054
RP1,aFLXsex,A,19,0,42,42,0
RP1,aFLXsex,A,20,1,44,45,0.022222222
RP1,aFLXsex,A,21,0,49,49,0
RP1,aFLXsex,A,22,0,29,29,0
RP1,aFLXsex,A,23,0,23,23,0
RP1,aFLXsex,A,24,0,37,37,0
RP1,aFLXsex,A,25,0,36,36,0
RP1,aFLXsex,A,26,0,49,49,0
RP1,aFLXsex,A,27,3,25,28,0.107142857
RP1,aFLXsex,A,28,0,16,16,0
RP1,aFLXsex,A,29,0,35,35,0
RP1,aFLXsex,A,30,NA,NA,NA,NA
RP2,aFLXsex,B,1,58,0,58,1
RP2,aFLXsex,B,2,0,59,59,0
RP2,aFLXsex,B,3,0,51,51,0
RP2,aFLXsex,B,4,10,43,53,0.188679245
RP2,aFLXsex,B,5,0,43,43,0
RP2,aFLXsex,B,6,0,45,45,0
RP2,aFLXsex,B,7,1,55,56,0.017857143
RP2,aFLXsex,B,8,0,54,54,0
RP2,aFLXsex,B,9,1,51,52,0.019230769
RP2,aFLXsex,B,10,1,52,53,0.018867925
RP2,aFLXsex,B,11,0,72,72,0
RP2,aFLXsex,B,12,0,42,42,0
RP2,aFLXsex,B,13,0,33,33,0
RP2,aFLXsex,B,14,0,53,53,0
RP2,aFLXsex,B,15,0,51,51,0
RP2,aFLXsex,B,16,13,54,67,0.194029851
RP2,aFLXsex,B,17,0,37,37,0
RP2,aFLXsex,B,18,NA,NA,NA,NA
RP2,aFLXsex,B,19,NA,NA,NA,NA
RP2,aFLXsex,B,20,NA,NA,NA,NA
RP2,aFLXsex,B,21,NA,NA,NA,NA
RP2,aFLXsex,B,22,NA,NA,NA,NA
RP2,aFLXsex,B,23,NA,NA,NA,NA
RP2,aFLXsex,B,24,NA,NA,NA,NA
RP2,aFLXsex,B,25,NA,NA,NA,NA
RP2,aFLXsex,B,26,NA,NA,NA,NA
RP2,aFLXsex,B,27,NA,NA,NA,NA
RP2,aFLXsex,B,28,NA,NA,NA,NA
RP2,aFLXsex,B,29,NA,NA,NA,NA
RP2,aFLXsex,B,30,NA,NA,NA,NA
RP3,aFLXsex,A,1,0,15,15,0
RP3,aFLXsex,A,2,0,48,48,0
