rep_pop,type,sex,typesex,fly,day,time,active,inactive,locoactive
RP1,aFLXsex,f,aFLXsexF,1,2,13:35,3,7,0.3
RP1,aFLXsex,f,aFLXsexF,2,2,13:35,2,8,0.2
RP1,aFLXsex,f,aFLXsexF,3,2,13:35,5,5,0.5
RP1,aFLXsex,f,aFLXsexF,4,2,13:35,5,5,0.5
RP1,aFLXsex,f,aFLXsexF,5,2,13:35,3,7,0.3
RP1,aFLXsex,f,aFLXsexF,6,2,13:35,4,6,0.4
RP1,aFLXsex,f,aFLXsexF,7,2,13:35,0,10,0
RP1,aFLXsex,f,aFLXsexF,8,2,13:35,8,2,0.8
RP1,aFLXsex,f,aFLXsexF,9,2,13:35,6,4,0.6
RP1,aFLXsex,f,aFLXsexF,10,2,13:35,1,9,0.1
RP1,aFLXsex,f,aFLXsexF,11,2,13:35,6,4,0.6
RP1,aFLXsex,f,aFLXsexF,12,2,13:35,5,5,0.5
RP1,aFLXsex,f,aFLXsexF,13,2,13:35,2,8,0.2
RP1,aFLXsex,f,aFLXsexF,14,2,13:35,2,8,0.2
RP1,aFLXsex,f,aFLXsexF,15,2,13:35,0,10,0
RP1,aFLXsex,f,aFLXsexF,16,2,13:35,2,8,0.2
RP2,aFLXsex,f,aFLXsexF,1,1,13:05,10,0,1
RP2,aFLXsex,f,aFLXsexF,2,1,13:05,3,7,0.3
RP2,aFLXsex,f,aFLXsexF,3,1,13:05,5,5,0.5
RP2,aFLXsex,f,aFLXsexF,4,1,13:05,9,1,0.9
RP2,aFLXsex,f,aFLXsexF,5,1,13:05,2,8,0.2
RP2,aFLXsex,f,aFLXsexF,6,1,13:05,1,9,0.1
RP2,aFLXsex,f,aFLXsexF,7,1,13:05,9,1,0.9
RP2,aFLXsex,f,aFLXsexF,8,1,13:05,1,9,0.1
RP2,aFLXsex,f,aFLXsexF,9,1,13:05,0,10,0
RP2,aFLXsex,f,aFLXsexF,10,1,13:05,9,1,0.9
RP2,aFLXsex,f,aFLXsexF,11,1,13:05,3,7,0.3
RP2,aFLXsex,f,aFLXsexF,12,1,13:05,2,8,0.2
RP2,aFLXsex,f,aFLXsexF,13,1,13:05,3,7,0.3
RP2,aFLXsex,f,aFLXsexF,14,1,13:05,9,1,0.9
RP2,aFLXsex,f,aFLXsexF,15,1,13:05,5,5,0.5
RP2,aFLXsex,f,aFLXsexF,16,1,13:05,9,1,0.9
RP3,aFLXsex,f,aFLXsexF,1,1,13:46,9,1,0.9
RP3,aFLXsex,f,aFLXsexF,2,1,13:46,1,9,0.1
RP3,aFLXsex,f,aFLXsexF,3,1,13:46,0,10,0
RP3,aFLXsex,f,aFLXsexF,4,1,13:46,2,8,0.2
RP3,aFLXsex,f,aFLXsexF,5,1,13:46,3,7,0.3
RP3,aFLXsex,f,aFLXsexF,6,1,13:46,1,9,0.1
RP3,aFLXsex,f,aFLXsexF,7,1,13:46,0,10,0
RP3,aFLXsex,f,aFLXsexF,8,1,13:46,6,4,0.6
RP3,aFLXsex,f,aFLXsexF,9,1,13:46,4,6,0.4
RP3,aFLXsex,f,aFLXsexF,10,1,13:46,1,9,0.1
RP3,aFLXsex,f,aFLXsexF,11,1,13:46,8,2,0.8
RP3,aFLXsex,f,aFLXsexF,12,1,13:46,10,0,1
RP3,aFLXsex,f,aFLXsexF,13,1,13:46,1,9,0.1
RP3,aFLXsex,f,aFLXsexF,14,1,13:46,3,7,0.3
RP3,aFLXsex,f,aFLXsexF,15,1,13:46,0,10,0
RP3,aFLXsex,f,aFLXsexF,16,1,13:46,9,1,0.9
RP4,aFLXsex,f,aFLXsexF,1,2,13:35,1,9,0.1
RP4,aFLXsex,f,aFLXsexF,2,2,13:35,6,4,0.6
RP4,aFLXsex,f,aFLXsexF,3,2,13:35,1,9,0.1
RP4,aFLXsex,f,aFLXsexF,4,2,13:35,7,3,0.7
RP4,aFLXsex,f,aFLXsexF,5,2,13:35,4,6,0.4
RP4,aFLXsex,f,aFLXsexF,6,2,13:35,5,5,0.5
RP4,aFLXsex,f,aFLXsexF,7,2,13:35,2,8,0.2
RP4,aFLXsex,f,aFLXsexF,8,2,13:35,4,6,0.4
RP4,aFLXsex,f,aFLXsexF,9,2,13:35,0,10,0
RP4,aFLXsex,f,aFLXsexF,10,2,13:35,1,9,0.1
RP4,aFLXsex,f,aFLXsexF,11,2,13:35,1,9,0.1
RP4,aFLXsex,f,aFLXsexF,12,2,13:35,4,6,0.4
RP4,aFLXsex,f,aFLXsexF,13,2,13:35,10,0,1
RP4,aFLXsex,f,aFLXsexF,14,2,13:35,0,10,0
RP4,aFLXsex,f,aFLXsexF,15,2,13:35,1,9,0.1
RP4,aFLXsex,f,aFLXsexF,16,2,13:35,4,6,0.4
RP1,aFLXsex,m,eFLXsexM,1,2,09:45,9,1,0.9
RP1,aFLXsex,m,eFLXsexM,2,2,09:45,3,7,0.3
RP1,aFLXsex,m,eFLXsexM,3,2,09:45,1,9,0.1
RP1,aFLXsex,m,eFLXsexM,4,2,09:45,4,6,0.4
RP1,aFLXsex,m,eFLXsexM,5,2,09:45,3,7,0.3
RP1,aFLXsex,m,eFLXsexM,6,2,09:45,2,8,0.2
