rep_pop,type,block,vial,red,brown,total,prop_red
RP1,aFLXsex,B,1,32,0,32,1
RP1,aFLXsex,B,2,50,0,50,1
RP1,aFLXsex,B,3,31,0,31,1
RP1,aFLXsex,B,4,56,0,56,1
RP1,aFLXsex,B,5,54,3,57,0.947368421
RP1,aFLXsex,B,6,29,15,44,0.659090909
RP1,aFLXsex,B,7,60,0,60,1
RP1,aFLXsex,B,8,55,0,55,1
RP1,aFLXsex,B,9,25,0,25,1
RP1,aFLXsex,B,10,30,0,30,1
RP1,aFLXsex,B,11,49,13,62,0.790322581
RP1,aFLXsex,B,12,24,0,24,1
RP1,aFLXsex,B,13,49,0,49,1
RP1,aFLXsex,B,14,54,0,54,1
RP1,aFLXsex,B,15,28,0,28,1
RP1,aFLXsex,B,16,50,0,50,1
RP1,aFLXsex,B,17,59,0,59,1
RP1,aFLXsex,A,18,NA,NA,NA,NA
RP1,aFLXsex,A,19,NA,NA,NA,NA
RP1,aFLXsex,A,20,NA,NA,NA,NA
RP1,aFLXsex,A,21,NA,NA,NA,NA
RP1,aFLXsex,A,22,NA,NA,NA,NA
RP1,aFLXsex,A,23,NA,NA,NA,NA
RP1,aFLXsex,A,24,NA,NA,NA,NA
RP1,aFLXsex,A,25,NA,NA,NA,NA
RP1,aFLXsex,A,26,NA,NA,NA,NA
RP1,aFLXsex,A,27,NA,NA,NA,NA
RP1,aFLXsex,A,28,NA,NA,NA,NA
RP1,aFLXsex,A,29,NA,NA,NA,NA
RP1,aFLXsex,A,30,NA,NA,NA,NA
RP2,aFLXsex,A,1,14,7,21,0.666666667
RP2,aFLXsex,A,2,35,0,35,1
RP2,aFLXsex,A,3,31,0,31,1
RP2,aFLXsex,A,4,55,0,55,1
RP2,aFLXsex,A,5,0,0,0,0
RP2,aFLXsex,A,6,35,1,36,0.972222222
RP2,aFLXsex,A,7,24,0,24,1
RP2,aFLXsex,A,8,42,0,42,1
RP2,aFLXsex,A,9,0,38,38,0
RP2,aFLXsex,A,10,21,0,21,1
RP2,aFLXsex,A,11,43,0,43,1
RP2,aFLXsex,A,12,24,4,28,0.857142857
RP2,aFLXsex,A,13,39,0,39,1
RP2,aFLXsex,A,14,37,0,37,1
RP2,aFLXsex,A,15,NA,NA,NA,NA
RP2,aFLXsex,A,16,36,1,37,0.972972973
RP2,aFLXsex,A,17,32,0,32,1
RP2,aFLXsex,A,18,0,28,28,0
RP2,aFLXsex,A,19,22,0,22,1
RP2,aFLXsex,A,20,13,4,17,0.764705882
RP2,aFLXsex,A,21,33,0,33,1
RP2,aFLXsex,A,22,16,0,16,1
RP2,aFLXsex,A,23,37,0,37,1
RP2,aFLXsex,A,24,53,0,53,1
RP2,aFLXsex,A,25,17,0,17,1
RP2,aFLXsex,A,26,53,0,53,1
RP2,aFLXsex,A,27,19,0,19,1
RP2,aFLXsex,A,28,18,0,18,1
RP2,aFLXsex,A,29,25,3,28,0.892857143
RP2,aFLXsex,A,30,48,0,48,1
RP3,aFLXsex,A,1,25,0,25,1
RP3,aFLXsex,A,2,15,0,15,1
RP3,aFLXsex,A,3,6,2,8,0.75
RP3,aFLXsex,A,4,24,0,24,1
RP3,aFLXsex,A,5,15,1,16,0.9375
RP3,aFLXsex,A,6,16,0,16,1
RP3,aFLXsex,A,7,17,0,17,1
RP3,aFLXsex,A,8,30,0,30,1
RP3,aFLXsex,A,9,18,0,18,1
RP3,aFLXsex,A,10,14,0,14,1
RP3,aFLXsex,A,11,24,0,24,1
RP3,aFLXsex,A,12,48,0,48,1
RP3,aFLXsex,A,13,25,0,25,1
RP3,aFLXsex,A,14,50,0,50,1
RP3,aFLXsex,A,15,NA,NA,NA,NA
RP3,aFLXsex,A,16,NA,NA,NA,NA
RP3,aFLXsex,A,17,NA,NA,NA,NA
RP3,aFLXsex,A,18,NA,NA,NA,NA
RP3,aFLXsex,A,19,NA,NA,NA,NA
RP3,aFLXsex,A,20,NA,NA,NA,NA
RP3,aFLXsex,A,21,NA,NA,NA,NA
RP3,aFLXsex,A,22,NA,NA,NA,NA
RP3,aFLXsex,A,23,NA,NA,NA,NA
RP3,aFLXsex,A,24,NA,NA,NA,NA
RP3,aFLXsex,A,25,NA,NA,NA,NA
RP3,aFLXsex,A,26,NA,NA,NA,NA
RP3,aFLXsex,A,27,NA,NA,NA,NA
RP3,aFLXsex,A,28,NA,NA,NA,NA
RP3,aFLXsex,A,29,NA,NA,NA,NA
RP3,aFLXsex,A,30,NA,NA,NA,NA
RP4,aFLXsex,A,1,22,5,27,0.814814815
RP4,aFLXsex,A,2,16,0,16,1
RP4,aFLXsex,A,3,23,0,23,1
RP4,aFLXsex,A,4,0,33,33,0
RP4,aFLXsex,A,5,38,0,38,1
RP4,aFLXsex,A,6,37,2,39,0.948717949
RP4,aFLXsex,A,7,41,0,41,1
RP4,aFLXsex,A,8,28,0,28,1
RP4,aFLXsex,A,9,17,0,17,1
RP4,aFLXsex,A,10,43,2,45,0.955555556
RP4,aFLXsex,A,11,23,1,24,0.958333333
RP4,aFLXsex,A,12,46,0,46,1
RP4,aFLXsex,A,13,14,1,15,0.933333333
RP4,aFLXsex,A,14,46,0,46,1
RP4,aFLXsex,A,15,NA,NA,NA,NA
RP4,aFLXsex,A,16,NA,NA,NA,NA
RP4,aFLXsex,A,17,NA,NA,NA,NA
RP4,aFLXsex,A,18,NA,NA,NA,NA
RP4,aFLXsex,A,19,NA,NA,NA,NA
RP4,aFLXsex,A,20,NA,NA,NA,NA
RP4,aFLXsex,A,21,NA,NA,NA,NA
RP4,aFLXsex,A,22,NA,NA,NA,NA
RP4,aFLXsex,A,23,NA,NA,NA,NA
RP4,aFLXsex,A,24,NA,NA,NA,NA
RP4,aFLXsex,A,25,NA,NA,NA,NA
RP4,aFLXsex,A,26,NA,NA,NA,NA
RP4,aFLXsex,A,27,NA,NA,NA,NA
RP4,aFLXsex,A,28,NA,NA,NA,NA
RP4,aFLXsex,A,29,NA,NA,NA,NA
RP4,aFLXsex,A,30,NA,NA,NA,NA
RP1,bFLXauto,A,1,19,0,19,1
RP1,bFLXauto,A,2,41,1,42,0.976190476
RP1,bFLXauto,A,3,48,0,48,1
RP1,bFLXauto,A,4,47,0,47,1
RP1,bFLXauto,A,5,35,9,44,0.795454545
RP1,bFLXauto,A,6,39,0,39,1
RP1,bFLXauto,A,7,14,0,14,1
RP1,bFLXauto,A,8,19,0,19,1
RP1,bFLXauto,A,9,48,2,50,0.96
RP1,bFLXauto,A,10,43,0,43,1
