id,mother,replicat,treatment,sex,age,WS,DR,LA_active ,LA_passive,LA_proportion,section,round,round.sec
M1F1-f1,F1,rep1,FLX,female,8,NA,NA,0,10,0,1,1,1.1
M1F1-f2,F1,rep1,FLX,female,8,1.5837,12.367,0,10,0,1,1,1.1
M1F1-f3,F1,rep1,FLX,female,8,NA,NA,1,9,0.1,1,1,1.1
M1F1-m1,F1,rep1,FLX,male,8,1.3863,5.817,0,10,0,1,1,1.1
M1F1-m2,F1,rep1,FLX,male,8,1.365,5.783,0,10,0,1,1,1.1
M1F1-m3,F1,rep1,FLX,male,8,1.404,5.75,0,10,0,1,1,1.1
M1F2-f1,F2,rep1,FLX,female,8,1.5177,13.817,0,10,0,1,1,1.1
M1F2-f2,F2,rep1,FLX,female,8,1.5277,12.233,2,8,0.2,1,1,1.1
M1F2-f3,F2,rep1,FLX,female,8,1.5763,9.333,3,7,0.3,1,1,1.1
M1F2-m1,F2,rep1,FLX,male,8,1.4177,5.633,1,9,0.1,1,1,1.1
M1F2-m2,F2,rep1,FLX,male,8,1.376,9.267,0,10,0,1,1,1.1
M1F2-m3,F2,rep1,FLX,male,8,1.3757,10.917,1,9,0.1,1,1,1.1
M1F3-f1,F3,rep1,FLX,female,8,1.5023,5.517,1,9,0.1,1,1,1.1
M1F3-f2,F3,rep1,FLX,female,8,1.5727,20.233,1,9,0.1,1,1,1.1
M1F3-f3,F3,rep1,FLX,female,8,1.5867,NA,1,9,0.1,1,1,1.1
M1F3-m1,F3,rep1,FLX,male,8,1.4053,7.25,1,9,0.1,1,1,1.1
M1F3-m2,F3,rep1,FLX,male,8,1.3913,10.75,2,8,0.2,1,1,1.1
M1F3-m3,F3,rep1,FLX,male,8,1.4177,9.017,5,5,0.5,1,1,1.1
M2F4-f1,F4,rep1,FLX,female,8,NA,NA,NA,NA,NA,1,1,1.1
M2F4-f2,F4,rep1,FLX,female,8,NA,NA,NA,NA,NA,1,1,1.1
M2F4-f3,F4,rep1,FLX,female,8,NA,NA,NA,NA,NA,1,1,1.1
M2F4-m1,F4,rep1,FLX,male,8,1.4643,9,4,6,0.4,1,1,1.1
M2F4-m2,F4,rep1,FLX,male,8,NA,NA,NA,NA,NA,1,1,1.1
