"Gen","Treatment","Replicate","Contest","Vial","Red","Brown"
"48","MLSD","1","26","1",49,36
"48","MLSD","1","26","2",45,54
"48","MLSD","1","26","3",54,47
"48","MLSD","1","26","4",61,46
"48","MLSD","1","26","5",62,47
"48","MLSD","1","26","6",54,41
"48","MC","1","13","1",50,22
"48","MC","1","13","2",29,19
"48","MC","1","13","3",42,19
"48","MC","1","13","4",42,24
"48","MC","1","13","5",40,26
"48","MC","1","13","6",47,25
"48","MC","1","48","1",48,35
"48","MC","1","48","2",56,36
"48","MC","1","48","3",42,31
"48","MC","1","48","4",54,49
"48","MC","1","48","5",43,33
"48","MC","1","48","6",65,38
"48","MC","1","36","1",52,36
"48","MC","1","36","2",53,33
"48","MC","1","36","3",51,20
"48","MC","1","36","4",49,44
"48","MC","1","36","5",65,34
"48","MC","1","36","6",58,34
"48","MLSD","1","38","1",51,46
"48","MLSD","1","38","2",43,43
"48","MLSD","1","38","3",31,31
"48","MLSD","1","38","4",28,27
"48","MLSD","1","38","5",29,32
"48","MLSD","1","38","6",40,37
"48","MLSD","1","62","1",41,40
"48","MLSD","1","62","2",36,48
"48","MLSD","1","62","3",42,37
"48","MLSD","1","62","4",40,46
"48","MLSD","1","62","5",52,46
"48","MLSD","1","62","6",43,43
"48","MC","1","24","1",26,19
"48","MC","1","24","2",46,18
"48","MC","1","24","3",45,29
"48","MC","1","24","4",41,22
"48","MC","1","24","5",38,24
"48","MC","1","24","6",52,21
"48","MC","1","1","1",74,32
"48","MC","1","1","2",56,31
"48","MC","1","1","3",56,20
"48","MC","1","1","4",54,29
"48","MC","1","1","5",56,30
"48","MC","1","1","6",50,33
"48","MC","1","60","1",30,42
"48","MC","1","60","2",64,31
"48","MC","1","60","3",51,36
"48","MC","1","60","4",45,38
"48","MC","1","60","5",67,36
"48","MC","1","60","6",41,20
"48","MLSD","5","70","1",55,37
"48","MLSD","5","70","2",34,38
"48","MLSD","5","70","3",42,25
"48","MLSD","5","70","4",62,37
"48","MLSD","5","70","5",47,20
"48","MLSD","1","15","1",20,36
"48","MLSD","1","15","2",38,28
"48","MLSD","1","15","3",28,49
"48","MLSD","1","15","4",23,25
"48","MLSD","1","15","5",21,23
"48","MLSD","1","15","6",13,21
"48","MLSD","1","3","1",43,51
"48","MLSD","1","3","2",25,27
"48","MLSD","1","3","3",27,28
"48","MLSD","1","3","4",39,35
"48","MLSD","1","3","5",53,53
"48","MLSD","1","3","6",28,31
"48","MLSD","3","54","1",42,40
"48","MLSD","3","54","2",44,36
"48","MLSD","3","54","3",38,29
"48","MLSD","3","54","4",31,25
"48","MLSD","3","54","5",47,22
"48","MLSD","3","54","6",45,26
"48","MC","3","17","1",33,28
"48","MC","3","17","2",49,26
"48","MC","3","17","3",36,19
"48","MC","3","17","4",29,25
"48","MC","3","17","5",41,28
"48","MC","3","17","6",44,40
"48","MLSD","3","42","1",44,26
"48","MLSD","3","42","2",32,28
"48","MLSD","3","42","3",28,19
"48","MLSD","3","42","4",27,24
"48","MLSD","3","42","5",31,22
"48","MLSD","3","42","6",37,26
"48","MC","3","40","1",55,28
"48","MC","3","40","2",41,32
"48","MC","3","40","3",43,29
"48","MC","3","40","4",51,23
"48","MC","3","40","5",45,32
"48","MC","3","40","6",50,24
"48","MC","3","64","1",36,21
"48","MC","3","64","2",56,26
"48","MC","3","64","3",48,27
"48","MC","3","64","4",35,28
"48","MC","3","64","5",38,22
"48","MC","3","64","6",54,19
"48","MC","3","5","1",45,31
"48","MC","3","5","2",24,21
"48","MC","3","5","3",31,31
"48","MC","3","5","4",37,25
"48","MC","3","5","5",42,23
"48","MC","3","5","6",40,22
"48","MLSD","3","7","1",30,29
"48","MLSD","3","7","2",29,26
"48","MLSD","3","7","3",25,34
"48","MLSD","3","7","4",26,18
"48","MLSD","3","7","5",45,33
"48","MLSD","3","7","6",21,23
"48","MLSD","3","30","1",28,26
"48","MLSD","3","30","2",25,27
"48","MLSD","3","30","3",31,26
"48","MLSD","3","30","4",37,28
"48","MLSD","3","30","5",24,25
"48","MLSD","3","30","6",25,31
"48","MLSD","3","66","1",23,11
"48","MLSD","3","66","2",46,24
"48","MLSD","3","66","3",37,34
"48","MLSD","3","66","4",41,28
"48","MLSD","3","66","5",47,23
"48","MLSD","3","66","6",42,33
"48","MC","3","28","1",59,19
"48","MC","3","28","2",48,26
"48","MC","3","28","3",44,21
"48","MC","3","28","4",52,23
"48","MC","3","28","5",46,29
"48","MC","3","28","6",50,21
"48","MLSD","3","19","1",23,31
"48","MLSD","3","19","2",31,32
"48","MLSD","3","19","3",21,26
"48","MLSD","3","19","4",19,32
"48","MLSD","3","19","5",19,24
"48","MLSD","3","19","6",33,45
"48","MC","3","52","1",41,24
"48","MC","3","52","2",42,25
"48","MC","3","52","3",48,21
"48","MC","3","52","4",45,29
"48","MC","3","52","5",48,24
"48","MC","3","52","6",47,26
"48","MC","5","44","1",46,28
"48","MC","5","44","2",43,16
"48","MC","5","44","3",38,34
"48","MC","5","44","4",41,24
"48","MC","5","44","5",52,32
"48","MC","5","44","6",55,31
"48","MLSD","5","22","1",44,41
"48","MLSD","5","22","2",45,36
"48","MLSD","5","22","3",43,39
"48","MLSD","5","22","4",48,39
"48","MLSD","5","22","5",62,50
"48","MLSD","5","22","6",65,56
"48","MC","5","32","1",61,40
"48","MC","5","32","2",73,56
"48","MC","5","32","3",83,75
"48","MC","5","32","4",78,36
"48","MC","5","32","5",81,47
"48","MC","5","32","6",68,56
"48","MLSD","1","50","1",39,39
"48","MLSD","1","50","2",31,38
"48","MLSD","1","50","3",28,39
"48","MLSD","1","50","4",41,44
"48","MLSD","1","50","5",42,46
"48","MLSD","1","50","6",21,28
"48","MLSD","5","11","1",72,44
"48","MLSD","5","11","2",66,39
"48","MLSD","5","11","3",57,41
"48","MLSD","5","11","4",56,43
"48","MLSD","5","11","5",71,54
"48","MLSD","5","11","6",62,45
"48","MC","5","68","1",79,35
"48","MC","5","68","2",62,39
"48","MC","5","68","3",49,31
"48","MC","5","68","4",67,41
"48","MC","5","68","5",82,33
"48","MC","5","68","6",59,35
"48","MLSD","5","34","1",51,46
"48","MLSD","5","34","2",32,33
"48","MLSD","5","34","3",50,49
"48","MLSD","5","34","4",49,66
"48","MLSD","5","34","5",93,67
"48","MLSD","5","34","6",57,55
"48","MC","5","56","1",91,56
"48","MC","5","56","2",77,50
"48","MC","5","56","3",80,60
"48","MC","5","56","4",60,41
"48","MC","5","56","5",61,46
"48","MC","5","56","6",55,34
"48","MLSD","5","46","1",82,54
"48","MLSD","5","46","2",68,42
"48","MLSD","5","46","3",73,68
"48","MLSD","5","46","4",77,57
"48","MLSD","5","46","5",86,60
"48","MLSD","5","46","6",73,43
"48","MC","5","9","1",75,29
"48","MC","5","9","2",65,34
"48","MC","5","9","3",53,21
"48","MC","5","9","4",36,13
"48","MC","5","9","5",85,23
"48","MC","5","9","6",66,32
"48","MLSD","5","58","1",79,81
"48","MLSD","5","58","2",44,44
