"Gen","Treatment","Replicate","Contest","Vial","Red","Brown"
"50","MLSD","1","4","1",26,63
"50","MLSD","1","4","2",25,35
"50","MLSD","1","4","3",38,67
"50","MLSD","1","4","4",37,61
"50","MLSD","1","4","5",32,70
"50","MLSD","1","4","6",22,54
"50","MLSD","1","28","1",28,35
"50","MLSD","1","28","2",24,46
"50","MLSD","1","28","3",23,42
"50","MLSD","1","28","4",26,43
"50","MLSD","1","28","5",27,32
"50","MLSD","1","28","6",33,41
"50","MLSD","1","52","1",19,45
"50","MLSD","1","52","2",32,61
"50","MLSD","1","52","3",14,36
"50","MLSD","1","52","4",23,49
"50","MLSD","1","52","5",15,44
"50","MLSD","1","52","6",18,47
"50","MLSD","1","76","1",18,58
"50","MLSD","1","76","2",15,34
"50","MLSD","1","76","3",11,47
"50","MLSD","1","76","4",21,34
"50","MLSD","1","76","5",13,52
"50","MLSD","1","76","6",18,55
"50","MLSD","1","100","1",27,68
"50","MLSD","1","100","2",23,48
"50","MLSD","1","100","3",18,52
"50","MLSD","1","100","4",21,60
"50","MLSD","1","100","5",27,70
"50","MLSD","1","100","6",18,67
"50","MLSD","1","123","1",19,32
"50","MLSD","1","123","2",23,49
"50","MLSD","1","123","3",18,38
"50","MLSD","1","123","4",26,48
"50","MLSD","1","123","5",17,50
"50","MLSD","1","123","6",15,42
"50","MLSD","3","12","1",46,68
"50","MLSD","3","12","2",42,61
"50","MLSD","3","12","3",49,58
"50","MLSD","3","12","4",42,51
"50","MLSD","3","12","5",36,69
"50","MLSD","3","12","6",45,61
"50","MLSD","3","36","1",26,38
"50","MLSD","3","36","2",46,63
"50","MLSD","3","36","3",53,62
"50","MLSD","3","36","4",39,54
"50","MLSD","3","36","5",36,58
"50","MLSD","3","36","6",32,60
"50","MLSD","3","60","1",45,71
"50","MLSD","3","60","2",57,63
"50","MLSD","3","60","3",49,70
"50","MLSD","3","60","4",32,57
"50","MLSD","3","60","5",42,67
"50","MLSD","3","60","6",25,66
"50","MLSD","3","84","1",31,47
"50","MLSD","3","84","2",38,63
"50","MLSD","3","84","3",32,59
"50","MLSD","3","84","4",26,43
"50","MLSD","3","84","5",34,51
"50","MLSD","3","84","6",46,71
"50","MLSD","3","108","1",31,93
"50","MLSD","3","108","2",14,48
"50","MLSD","3","108","3",18,60
"50","MLSD","3","108","4",24,78
"50","MLSD","3","108","5",30,81
"50","MLSD","3","108","6",35,83
"50","MLSD","3","131","1",33,82
"50","MLSD","3","131","2",33,48
"50","MLSD","3","131","3",40,74
"50","MLSD","3","131","4",32,81
"50","MLSD","3","131","5",29,73
"50","MLSD","3","131","6",44,58
"50","MLSD","5","20","1",38,64
"50","MLSD","5","20","2",29,72
"50","MLSD","5","20","3",40,60
"50","MLSD","5","20","4",37,61
"50","MLSD","5","20","5",32,61
"50","MLSD","5","20","6",30,64
"50","MLSD","5","44","1",42,75
"50","MLSD","5","44","2",44,76
"50","MLSD","5","44","3",33,72
"50","MLSD","5","44","4",32,71
"50","MLSD","5","44","5",55,63
"50","MLSD","5","44","6",41,73
"50","MLSD","5","68","1",36,96
"50","MLSD","5","68","2",37,61
"50","MLSD","5","68","3",41,65
"50","MLSD","5","68","4",40,75
"50","MLSD","5","68","5",32,60
"50","MLSD","5","68","6",38,64
"50","MLSD","5","92","1",28,79
"50","MLSD","5","92","2",33,70
"50","MLSD","5","92","3",35,78
"50","MLSD","5","92","4",37,72
"50","MLSD","5","92","5",27,84
"50","MLSD","5","92","6",35,73
"50","MLSD","5","116","1",55,76
"50","MLSD","5","116","2",52,81
"50","MLSD","5","116","3",51,77
"50","MLSD","5","116","4",47,74
"50","MLSD","5","116","5",43,63
"50","MLSD","5","116","6",42,67
"50","MLSD","5","138","1",29,80
"50","MLSD","5","138","2",33,78
"50","MLSD","5","138","3",33,81
"50","MLSD","5","138","4",31,81
"50","MLSD","5","138","5",51,93
"50","MLSD","5","138","6",29,72
"50","MC","1","1","1",41,75
"50","MC","1","1","2",22,62
"50","MC","1","1","3",20,59
"50","MC","1","1","4",38,84
"50","MC","1","1","5",29,57
"50","MC","1","1","6",32,71
"50","MC","1","25","1",22,56
"50","MC","1","25","2",16,53
"50","MC","1","25","3",26,72
"50","MC","1","25","4",25,66
"50","MC","1","25","5",28,63
"50","MC","1","25","6",24,69
"50","MC","1","49","1",22,56
"50","MC","1","49","2",17,54
"50","MC","1","49","3",32,67
"50","MC","1","49","4",33,59
"50","MC","1","49","5",24,64
"50","MC","1","49","6",18,50
"50","MC","1","73","1",34,63
"50","MC","1","73","2",17,48
"50","MC","1","73","3",20,36
"50","MC","1","73","4",31,39
"50","MC","1","73","5",32,72
"50","MC","1","73","6",29,55
"50","MC","1","97","1",22,54
"50","MC","1","97","2",12,49
"50","MC","1","97","3",17,39
"50","MC","1","97","4",20,63
"50","MC","1","97","5",16,70
"50","MC","1","97","6",17,53
"50","MC","3","9","1",22,68
"50","MC","3","9","2",38,73
"50","MC","3","9","3",35,77
"50","MC","3","9","4",34,77
"50","MC","3","9","5",37,74
"50","MC","3","9","6",40,74
"50","MC","3","33","1",16,31
"50","MC","3","33","2",26,62
"50","MC","3","33","3",25,59
"50","MC","3","33","4",28,67
"50","MC","3","33","5",37,62
"50","MC","3","33","6",38,74
"50","MC","3","57","1",24,61
"50","MC","3","57","2",14,43
"50","MC","3","57","3",19,64
"50","MC","3","57","4",10,52
"50","MC","3","57","5",13,66
"50","MC","3","57","6",23,91
