Selection,Line,Vial,Red.Offspring,Peach.offspring
ML,1,1,23,8
ML,1,2,9,29
ML,1,3,15,6
ML,1,4,23,28
ML,2,1,36,27
ML,2,2,76,41
ML,2,3,46,41
ML,2,4,27,39
ML,2,5,56,31
ML,3,1,51,17
ML,3,2,73,35
ML,3,3,48,9
ML,3,4,19,34
ML,3,5,52,30
ML,4,1,64,45
ML,4,2,11,17
ML,4,3,15,7
ML,4,4,26,39
ML,4,5,16,25
ML,5,1,53,13
ML,5,2,33,14
ML,5,3,99,12
ML,5,4,63,64
ML,5,5,13,56
ML,6,1,86,9
ML,6,2,14,14
ML,6,3,15,12
ML,6,4,10,20
ML,6,5,91,38
ML,7,1,44,81
ML,7,2,19,8
ML,7,3,54,33
ML,7,4,57,49
ML,7,5,75,29
ML,8,1,19,40
ML,8,2,21,75
ML,8,3,70,59
ML,8,4,104,43
ML,8,5,28,41
ML,9,1,36,45
ML,9,2,61,49
ML,9,3,30,22
ML,9,4,48,38
ML,9,5,64,15
ML,10,1,31,14
ML,10,2,53,70
ML,10,3,74,46
ML,10,4,51,19
ML,10,5,50,78
ML,11,1,95,23
ML,11,2,16,74
ML,11,3,12,41
ML,11,4,31,38
ML,11,5,33,32
ML,12,1,34,1
ML,12,2,41,37
ML,12,3,53,9
ML,12,4,27,36
ML,12,5,27,1
ML,13,1,25,18
ML,13,2,16,50
ML,13,3,35,24
ML,13,4,11,20
ML,13,5,28,82
ML,14,1,2,3
ML,14,2,29,42
ML,14,3,65,13
ML,14,4,54,29
ML,14,5,27,34
ML,15,1,33,38
ML,15,2,78,25
ML,15,3,18,43
ML,15,4,75,30
ML,16,1,16,7
ML,16,2,29,24
ML,16,3,24,9
ML,16,4,32,12
ML,16,5,29,41
ML,17,1,45,34
ML,17,2,24,43
ML,17,3,59,35
ML,17,4,38,63
ML,17,5,46,14
ML,18,1,16,41
ML,18,2,87,23
ML,18,3,85,44
ML,18,4,25,23
ML,18,5,33,49
ML,19,1,50,31
ML,19,2,58,17
ML,19,3,67,21
ML,19,4,27,20
ML,19,5,71,19
ML,20,1,32,49
ML,20,2,16,103
ML,20,3,59,29
ML,20,4,53,26
ML,20,5,73,31
ML,21,1,16,13
ML,21,2,25,7
ML,21,3,31,17
ML,21,4,38,35
ML,21,5,36,33
ML,22,1,38,46
ML,22,2,32,35
ML,22,3,15,22
ML,22,4,45,61
ML,22,5,19,13
ML,23,1,41,43
ML,23,2,18,14
ML,23,3,54,23
ML,23,4,26,29
ML,23,5,57,25
ML,24,1,10,33
ML,24,2,16,32
ML,24,3,41,36
ML,24,4,17,40
ML,24,5,27,45
ML,25,1,35,42
ML,25,2,31,21
ML,25,3,29,26
ML,25,4,12,13
ML,25,5,11,10
ML,26,1,21,9
ML,26,2,15,10
ML,26,3,9,7
ML,26,4,11,6
ML,26,5,63,39
ML,27,1,26,31
ML,27,2,37,15
ML,27,3,17,8
ML,27,4,12,11
ML,27,5,15,33
ML,28,1,31,14
ML,28,2,11,4
ML,28,3,51,26
ML,28,4,10,18
ML,28,5,48,35
ML,29,1,34,28
ML,29,2,38,21
ML,29,3,29,36
ML,29,4,47,48
ML,29,5,4,4
ML,30,1,26,40
ML,30,2,38,16
ML,30,3,25,11
ML,30,4,63,41
ML,31,1,31,20
ML,31,2,43,48
ML,31,3,62,39
ML,31,4,11,6
ML,31,5,23,12
ML,32,1,28,28
ML,32,2,19,13
ML,32,3,6,11
ML,32,4,25,16
ML,32,5,27,12
ML,33,1,40,24
ML,33,2,17,7
ML,33,3,18,12
ML,33,4,9,14
ML,33,5,23,58
ML,34,1,44,38
ML,34,2,24,35
ML,34,3,46,35
ML,34,4,71,45
ML,34,5,32,27
ML,35,1,21,7
ML,35,2,56,19
ML,35,3,26,23
ML,35,4,35,15
ML,35,5,42,20
ML,36,1,12,11
ML,36,2,34,37
ML,36,3,29,40
ML,36,4,51,59
ML,36,5,38,53
ML,37,1,27,11
ML,37,2,9,16
ML,37,3,12,17
ML,37,4,50,41
ML,37,5,23,11
ML,38,1,15,16
ML,38,2,12,8
