Selection,Background,Replicate,Female,Vial.ID,Obs.start.time,Mating.start.time,Mating.end.time,Mated.male,Males,Females,Obs.start.time.Corr,Mating.start.time.Corr,Mating.end.time.Corr,Latency,Duration
ML,WT,1,CBr,882,3:26,3:56,4:18,wt,20,16,926,956,978,30,22
ML,WT,1,CBr,883,3:30,3:36,3:58,wt,21,16,930,936,958,6,22
ML,WT,1,CBr,884,3:25,3:33,3:46,wt,14,22,925,933,946,8,13
ML,WT,1,CBr,885,3:25,3:34,3:44,wt,29,27,925,934,944,9,10
ML,WT,1,CBr,886,3:24,3:27,3:47,wt,27,30,924,927,947,3,20
ML,WT,1,CBr,887,3:33,4:20,4:37,bw,21,16,933,980,997,47,17
ML,WT,1,CBr,888,3:20,3:23,3:36,bw,1,0,920,923,936,3,13
ML,WT,1,CBr,889,3:33,3:42,3:58,wt,21,25,933,942,958,9,16
ML,WT,1,CBr,890,3:34,3:46,4:07,wt,21,24,934,946,967,12,21
ML,WT,1,CBr,891,3:20,3:21,3:36,wt,19,16,920,921,936,1,15
ML,WT,1,CBr,892,3:21,3:59,4:23,bw,20,13,921,959,983,38,24
ML,WT,1,CBr,893,3:31,3:39,3:57,wt,24,23,931,939,957,8,18
ML,WT,1,CBr,894,11:05,11:10,11:30,wt,0,0,665,670,690,5,20
ML,WT,1,CBr,895,11:04,11:10,11:29,wt,24,15,664,670,689,6,19
ML,WT,1,CBr,896,11:05,11:13,11:32,bw,0,0,665,673,692,8,19
ML,WT,1,CBr,897,11:04,11:12,11:37,bw,34,26,664,672,697,8,25
ML,WT,1,CBr,898,11:06,11:21,11:44,wt,30,32,666,681,704,15,23
ML,WT,1,CBr,899,11:04,11:08,11:24,wt,0,0,664,668,684,4,16
ML,WT,1,CBr,900,11:07,11:22,11:34,wt,36,27,667,682,694,15,12
ML,WT,1,CBr,901,11:08,12:38,1:07,wt,24,30,668,758,787,90,29
ML,WT,1,CBr,902,11:04,11:13,11:33,bw,37,28,664,673,693,9,20
ML,WT,1,CBr,903,11:06,11:13,11:28,bw,24,37,666,673,688,7,15
ML,WT,1,CBr,904,11:07,11:10,11:21,wt,29,33,667,670,681,3,11
ML,WT,1,CBr,905,11:05,11:29,11:55,wt,35,33,665,689,715,24,26
ML,WT,1,CBr,906,2:58,3:07,3:26,bw,37,26,898,907,926,9,19
ML,WT,1,CBr,907,15:01,15:14,15:35,bw,32,37,901,914,935,13,21
ML,WT,1,CBr,908,15:01,15:03,15:22,bw,29,33,901,903,922,2,19
ML,WT,1,CBr,909,14:58,15:02,15:15,wt,28,31,898,902,915,4,13
ML,WT,1,CBr,910,14:56,14:56,15:15,wt,35,27,896,896,915,0,19
ML,WT,1,CBr,911,14:55,15:02,15:19,bw,32,37,895,902,919,7,17
ML,WT,1,CBr,912,15:01,15:07,15:31,wt,35,25,901,907,931,6,24
ML,WT,1,CBr,913,3:01,3:12,3:38,bw,31,34,901,912,938,11,26
ML,WT,1,CBr,914,3:01,3:06,3:31,bw,50,32,901,906,931,5,25
ML,WT,1,CBr,915,2:58,3:02,3:27,wt,34,25,898,902,927,4,25
ML,WT,1,CBr,916,2:58,3:00,3:17,wt,26,34,898,900,917,2,17
ML,WT,1,CBr,917,14:58,15:13,15:27,wt,24,16,898,913,927,15,14
ML,WT,1,CBr,918,11:07,11:13,11:29,bw,27,25,667,673,689,6,16
ML,WT,1,CBr,919,11:31,11:39,11:56,wt,29,23,691,699,716,8,17
ML,WT,1,CBr,920,11:07,11:14,11:38,wt,48,36,667,674,698,7,24
ML,WT,1,CBr,921,11:09,11:10,11:31,wt,29,32,669,670,691,1,21
ML,WT,1,CBr,922,11:07,11:12,11:27,wt,38,19,667,672,687,5,15
ML,WT,1,CBr,923,11:09,11:37,11:56,bw,29,28,669,697,716,28,19
ML,WT,1,CBr,924,11:09,11:19,11:38,wt,19,27,669,679,698,10,19
ML,WT,1,CBr,925,11:10,11:14,11:32,bw,36,22,670,674,692,4,18
ML,WT,1,CBr,926,11:13,11:20,11:39,bw,16,23,673,680,699,7,19
ML,WT,1,CBr,928,11:09,11:27,11:48,wt,26,21,669,687,708,18,21
ML,WT,1,CBr,929,11:13,11:14,11:33,bw,35,25,673,674,693,1,19
ML,WT,3,CBr,931,3:43,3:52,4:08,wt,24,18,943,952,968,9,16
ML,WT,3,CBr,932,3:36,3:44,4:00,bw,16,22,936,944,960,8,16
ML,WT,3,CBr,933,3:39,3:50,4:08,bw,21,24,939,950,968,11,18
ML,WT,3,CBr,934,3:39,3:42,3:57,wt,20,23,939,942,957,3,15
ML,WT,3,CBr,935,3:45,3:52,4:07,wt,0,0,945,952,967,7,15
ML,WT,3,CBr,936,3:41,5:05,5:31,wt,27,29,941,1025,1051,84,26
ML,WT,3,CBr,937,3:37,3:43,4:00,bw,26,23,937,943,960,6,17
ML,WT,3,CBr,938,3:38,5:25,5:45,bw,21,12,938,1045,1065,107,20
ML,WT,3,CBr,939,3:44,3:58,4:18,bw,23,19,944,958,978,14,20
ML,WT,3,CBr,940,15:45,16:23,16:42,wt,28,20,945,983,1002,38,19
ML,WT,3,CBr,941,3:45,3:49,4:00,wt,18,16,945,949,960,4,11
ML,WT,3,CBr,942,15:48,16:03,16:23,bw,21,24,948,963,983,15,20
ML,WT,3,CBr,943,10:02,10:13,10:34,wt,31,24,602,613,634,11,21
ML,WT,3,CBr,944,9:57,10:03,10:27,bw,0,0,597,603,627,6,24
ML,WT,3,CBr,945,9:58,10:46,11:09,wt,31,28,598,646,669,48,23
ML,WT,3,CBr,947,9:58,10:35,10:51,bw,35,22,598,635,651,37,16
ML,WT,3,CBr,948,10:03,10:12,10:26,wt,29,27,603,612,626,9,14
ML,WT,3,CBr,949,9:58,10:13,10:43,bw,20,34,598,613,643,15,30
ML,WT,3,CBr,950,10:04,11:55,12:13,bw,19,26,604,715,733,111,18
