"Treatment","Replicate","Bundle","Vial","U","WT"
"MLSD","1",65,"V1",2,18
"MLSD","1",67,"V1",0,18
"MLSD","1",68,"V1",0,20
"MLSD","3",72,"V1",0,8
"MLSD","3",73,"V1",0,18
"MLSD","3",74,"V1",1,8
"MLSD","3",77,"V1",4,30
"MLSD","3",79,"V1",0,15
"MLSD","3",80,"V1",0,17
"MLSD","5",81,"V1",2,24
"MLSD","5",83,"V1",0,28
"MLSD","5",84,"V1",3,8
"MLSD","5",85,"V1",1,23
"MLSD","5",89,"V1",2,3
"MLSD","5",90,"V1",0,1
"MLDD","1",92,"V1",2,25
"MLDD","1",93,"V1",10,8
"MLDD","1",94,"V1",5,6
"MLDD","1",95,"V1",0,14
"MLDD","1",97,"V1",4,26
"MLDD","1",98,"V1",2,21
"MLDD","3",101,"V1",0,7
"MLDD","3",103,"V1",0,16
"MLDD","3",104,"V1",0,17
"MLDD","3",106,"V1",12,4
"MLDD","3",108,"V1",0,17
"MLDD","3",109,"V1",1,27
"MLDD","5",111,"V1",0,33
"MLDD","5",113,"V1",1,22
"MLDD","5",116,"V1",0,9
"MLDD","5",117,"V1",9,6
"MLDD","5",119,"V1",3,34
"MLSDa","1",121,"V1",2,10
"MLSDa","1",123,"V1",0,29
"MLSDa","1",124,"V1",1,6
"MLSDa","1",125,"V1",0,3
"MLSDa","1",127,"V1",0,23
"MLSDa","1",129,"V1",0,26
"MLSDa","1",130,"V1",0,20
"MLSDa","3",131,"V1",0,1
"MLSDa","3",135,"V1",1,24
"MLSDa","3",136,"V1",11,3
"MLSDa","3",139,"V1",0,23
"MLSDa","5",141,"V1",0,17
"MLSDa","5",143,"V1",0,16
"MLSDa","5",146,"V1",4,19
"MLSDa","5",147,"V1",0,12
"MLSDa","5",149,"V1",2,33
"MLSDa","5",150,"V1",0,21
"MC","1",151,"V1",4,27
"MC","1",153,"V1",1,8
"MC","1",154,"V1",5,28
"MC","1",158,"V1",0,34
"MC","3",161,"V1",6,17
"MC","3",165,"V1",0,1
"MC","3",166,"V1",0,18
"MC","3",167,"V1",0,29
"MC","3",169,"V1",0,32
"MC","5",170,"V1",0,40
"MC","5",172,"V1",0,12
"MC","5",178,"V1",0,5
"MC","5",180,"V1",1,42
"MLSD","1",62,"V2",10,22
"MLSD","1",63,"V2",0,30
"MLSD","1",64,"V2",0,41
"MLSD","1",66,"V2",0,25
"MLSD","1",68,"V2",0,13
"MLSD","1",69,"V2",0,1
"MLSD","1",70,"V2",9,37
"MLSD","3",74,"V2",6,38
"MLSD","3",75,"V2",1,28
"MLSD","3",80,"V2",0,13
"MLSD","5",82,"V2",0,12
"MLSD","5",87,"V2",2,31
"MLSD","5",90,"V2",0,1
"MLDD","1",92,"V2",6,18
"MLDD","1",93,"V2",0,3
"MLDD","1",95,"V2",3,16
"MLDD","1",96,"V2",0,27
"MLDD","1",97,"V2",9,6
"MLDD","1",98,"V2",0,18
"MLDD","3",103,"V2",0,32
"MLDD","3",106,"V2",1,5
"MLDD","3",107,"V2",16,2
"MLDD","3",108,"V2",13,18
"MLDD","3",109,"V2",13,27
"MLDD","5",111,"V2",4,36
"MLDD","5",112,"V2",0,16
"MLDD","5",113,"V2",4,20
"MLDD","5",116,"V2",1,7
"MLDD","5",117,"V2",1,18
"MLDD","5",118,"V2",2,29
"MLDD","5",120,"V2",0,34
"MLSDa","1",122,"V2",0,28
"MLSDa","1",123,"V2",1,20
"MLSDa","1",125,"V2",2,4
"MLSDa","1",126,"V2",5,8
"MLSDa","1",127,"V2",0,29
"MLSDa","1",129,"V2",0,32
"MLSDa","3",132,"V2",2,31
"MLSDa","3",134,"V2",6,1
"MLSDa","3",135,"V2",3,35
"MLSDa","3",138,"V2",0,16
"MLSDa","3",139,"V2",0,19
"MLSDa","3",140,"V2",1,25
"MLSDa","5",141,"V2",0,14
