"Population","Cage","Sex","Time Block","Marker","Mating Status"
"1","","Male","Day 3 Final","Red","Non-Mated"
"1","","Male","Day 3 Final","Red","Non-Mated"
"1","","Male","Day 3 Final","Red","Non-Mated"
"1","","Male","Day 3 Final","Red","Non-Mated"
"1","","Male","Day 3 Final","Red","Non-Mated"
"1","","Male","Day 3 Final","Red","Non-Mated"
"1","","Male","Day 3 Final","Red","Non-Mated"
"1","","Male","Day 3 Final","Red","Non-Mated"
"1","","Male","Day 3 Final","Red","Non-Mated"
"1","","Male","Day 3 Final","Red","Non-Mated"
"1","","Male","Day 3 Final","Red","Non-Mated"
"1","","Male","Day 3 Final","Red","Non-Mated"
"1","","Male","Day 3 Final","Red","Non-Mated"
"1","","Male","Day 3 Final","Red","Non-Mated"
"1","","Male","Day 3 Final","Red","Non-Mated"
"1","","Male","Day 3 Final","Red","Non-Mated"
"1","","Male","Day 3 Final","Red","Non-Mated"
"1","","Male","Day 3 Final","Red","Non-Mated"
"1","","Male","Day 3 Final","Red","Non-Mated"
"1","","Male","Day 3 Final","Red","Non-Mated"
"1","","Male","Day 3 Final","Red","Non-Mated"
"1","","Male","Day 3 Final","Red","Non-Mated"
"1","","Male","Day 3 Final","Red","Non-Mated"
"1","","Male","Day 3 Final","Red","Non-Mated"
"1","","Male","Day 3 Final","Red","Non-Mated"
"1","","Male","Day 3 Final","Red","Non-Mated"
"1","","Male","Day 3 Final","Red","Non-Mated"
"1","","Male","Day 3 Final","Red","Non-Mated"
"1","","Male","Day 3 Final","Red","Non-Mated"
"1","","Male","Day 3 Final","Red","Non-Mated"
"1","","Male","Day 3 Final","Red","Non-Mated"
"1","","Male","Day 3 Final","Red","Non-Mated"
"1","","Male","Day 3 Final","Red","Non-Mated"
"1","","Male","Day 3 Final","Red","Non-Mated"
"1","","Male","Day 3 Final","Red","Non-Mated"
"1","","Male","Day 3 Final","Red","Non-Mated"
"1","","Male","Day 3 Final","Red","Non-Mated"
"1","","Male","Day 3 Final","Red","Non-Mated"
"1","","Male","Day 3 Final","Red","Non-Mated"
"1","","Male","Day 3 Final","Red","Non-Mated"
"1","","Male","Day 3 Final","Red","Non-Mated"
"1","","Male","Day 3 Final","Red","Non-Mated"
"1","","Male","Day 3 Final","Red","Non-Mated"
