Treatment;Population;ID;sex_role;Stand_Fitness
Male;M1;M1D1;female;-0,6668
Male;M1;M1C1;female;-1,3703
Male;M1;M1B1;female;0,5643
Male;M1;M1A1;female;-0,4909
Male;M1;M1D2;female;-1,1944
Male;M1;M1C2;female;-0,1392
Male;M1;M1B2;female;0,9161
Male;M1;M1A2;female;0,5643
Male;M1;M1D3;female;-1,0185
Male;M1;M1C3;female;0,9161
Male;M1;M1B3;female;1,2678
Male;M1;M1A3;female;1,6196
Male;M1;M1D4;female;-0,8427
Male;M1;M1B4;female;-0,6668
Male;M1;M1D5;female;-0,1392
Male;M1;M1C5;female;-0,1392
Male;M1;M1B5;female;1,092
Male;M1;M1A5;female;-1,3703
Male;M1;M1D6;female;0,3885
Male;M1;M1C6;female;0,0367
Male;M1;M1B6;female;1,9713
Male;M1;M1A6;female;1,6196
Male;M2;M2D1;female;-1,0185
Male;M2;M2C1;female;0,0367
Male;M2;M2B1;female;0,3885
Male;M2;M2A1;female;0,2126
Male;M2;M2D2;female;0,9161
Male;M2;M2C2;female;-0,315
Male;M2;M2B2;female;0,9161
Male;M2;M2A2;female;-0,4909
Male;M2;M2D3;female;-1,1944
Male;M2;M2C3;female;0,0367
Male;M2;M2B3;female;1,4437
Male;M2;M2A3;female;0,7402
Male;M2;M2D4;female;-1,5462
Male;M2;M2C4;female;0,9161
Male;M2;M2B4;female;-1,5462
Male;M2;M2A4;female;0,9161
Male;M2;M2C5;female;-1,5462
Male;M2;M2B5;female;0,0367
Male;M2;M2A5;female;0,2126
Male;M2;M2D6;female;-0,1392
Male;M2;M2C6;female;0,7402
Male;M2;M2B6;female;0,7402
Male;M2;M2A6;female;0,3885
Male;M3;M3D1;female;-0,1392
Male;M3;M3C1;female;1,6196
Male;M3;M3B1;female;-1,3703
Male;M3;M3A1;female;1,2678
Male;M3;M3D2;female;0,0367
Male;M3;M3C2;female;-1,5462
Male;M3;M3B2;female;1,2678
Male;M3;M3A2;female;-0,315
Male;M3;M3D3;female;-0,315
Male;M3;M3C3;female;0,7402
Male;M3;M3B3;female;0,5643
Male;M3;M3A3;female;-0,4909
Male;M3;M3D4;female;1,4437
Male;M3;M3C4;female;0,0367
Male;M3;M3B4;female;1,2678
Male;M3;M3A4;female;-0,1392
Male;M3;M3D5;female;1,092
Male;M3;M3C5;female;0,0367
Male;M3;M3B5;female;-1,5462
Male;M3;M3A5;female;1,2678
Male;M3;M3D6;female;1,4437
Male;M3;M3C6;female;0,0367
Male;M3;M3B6;female;-1,0185
Male;M3;M3A6;female;-1,5462
Male;M4;M4D1;female;-0,6668
Male;M4;M4C1;female;1,2678
Male;M4;M4B1;female;1,092
Male;M4;M4A1;female;-0,1392
Male;M4;M4D2;female;0,7402
Male;M4;M4C2;female;0,3885
Male;M4;M4B2;female;1,6196
Male;M4;M4A2;female;0,7402
Male;M4;M4D3;female;-1,3703
Male;M4;M4C3;female;2,1472
Male;M4;M4B3;female;0,5643
Male;M4;M4A3;female;-1,5462
Male;M4;M4D4;female;-1,5462
Male;M4;M4C4;female;1,2678
Male;M4;M4B4;female;-1,0185
Male;M4;M4A4;female;-1,0185
Male;M4;M4D5;female;-1,3703
Male;M4;M4C5;female;0,9161
Male;M4;M4A5;female;0,3885
Male;M4;M4D6;female;1,092
Male;M4;M4C6;female;-1,5462
Male;M4;M4B6;female;-1,5462
Female;F1;F1B1;female;0,9161
Female;F1;F1D2;female;-1,1944
Female;F1;F1B2;female;-1,1944
Female;F1;F1A2;female;0,2126
Female;F1;F1D3;female;0,3885
Female;F1;F1C3;female;-0,8427
Female;F1;F1B3;female;0,2126
Female;F1;F1A3;female;-1,5462
Female;F1;F1C4;female;-0,4909
Female;F1;F1B4;female;-0,8427
Female;F1;F1A4;female;-0,8427
Female;F1;F1D5;female;-1,1944
Female;F1;F1C5;female;1,4437
Female;F1;F1B5;female;1,092
Female;F1;F1A5;female;0,7402
Female;F1;F1D6;female;-0,8427
Female;F1;F1C6;female;0,3885
Female;F1;F1B6;female;0,2126
Female;F1;F1A6;female;1,092
Female;F2;F2D1;female;-0,6668
Female;F2;F2C1;female;-0,4909
Female;F2;F2B1;female;-0,1392
Female;F2;F2A1;female;-1,5462
Female;F2;F2D2;female;1,7955
Female;F2;F2C2;female;1,6196
Female;F2;F2B2;female;0,5643
Female;F2;F2A2;female;1,092
Female;F2;F2D3;female;0,3885
Female;F2;F2C3;female;2,499
Female;F2;F2B3;female;0,7402
Female;F2;F2A3;female;-1,1944
Female;F2;F2D4;female;0,0367
Female;F2;F2C4;female;0,0367
Female;F2;F2B4;female;0,0367
Female;F2;F2A4;female;0,7402
Female;F2;F2D5;female;-1,0185
Female;F2;F2C5;female;-0,1392
Female;F2;F2B5;female;0,3885
Female;F2;F2A5;female;2,499
Female;F2;F2D6;female;-1,1944
Female;F2;F2C6;female;-1,5462
Female;F2;F2B6;female;1,4437
Female;F3;F3D1;female;0,7402
Female;F3;F3C1;female;-1,3703
Female;F3;F3B1;female;1,7955
Female;F3;F3A1;female;0,2126
Female;F3;F3D2;female;2,499
Female;F3;F3C2;female;0,9161
Female;F3;F3B2;female;0,2126
Female;F3;F3A2;female;1,092
Female;F3;F3D3;female;0,5643
Female;F3;F3C3;female;2,1472
Female;F3;F3B3;female;-0,1392
Female;F3;F3A3;female;-0,1392
Female;F3;F3D4;female;0,3885
Female;F3;F3C4;female;0,9161
Female;F3;F3B4;female;1,6196
Female;F3;F3A4;female;0,2126
Female;F3;F3D5;female;2,6748
Female;F3;F3C5;female;1,2678
Female;F3;F3B5;female;-0,1392
Female;F3;F3A5;female;-1,0185
Female;F3;F3D6;female;-0,1392
Female;F3;F3B6;female;0,2126
Female;F3;F3A6;female;0,0367
Female;F4;F4C1;female;0,3885
Female;F4;F4B1;female;1,4437
Female;F4;F4A1;female;1,092
Female;F4;F4D2;female;0,9161
Female;F4;F4B2;female;1,2678
Female;F4;F4A2;female;-1,5462
Female;F4;F4D3;female;0,5643
Female;F4;F4C3;female;-0,1392
Female;F4;F4B3;female;0,2126
Female;F4;F4A3;female;-0,315
Female;F4;F4D4;female;2,3231
Female;F4;F4C4;female;-1,5462
Female;F4;F4B4;female;0,0367
Female;F4;F4A4;female;0,9161
Female;F4;F4D5;female;0,3885
Female;F4;F4B5;female;1,2678
Female;F4;F4D6;female;-0,1392
Female;F4;F4C6;female;-0,8427
Female;F4;F4B6;female;1,4437
Female;F4;F4A6;female;2,1472
Control;C1;C1D1;female;-0,8427
Control;C1;C1C1;female;-1,1944
Control;C1;C1B1;female;-0,8427
Control;C1;C1A1;female;-0,6668
Control;C1;C1C2;female;0,2126
Control;C1;C1B2;female;-0,6668
Control;C1;C1D3;female;-1,3703
Control;C1;C1C3;female;-0,8427
Control;C1;C1B3;female;0,0367
Control;C1;C1A3;female;-0,6668
Control;C1;C1D4;female;0,2126
Control;C1;C1B4;female;-0,315
