ID,line,trt,ovary,body area,relative_ovary,testis,relative_testis,sex_allocation
12,C1,C,0.006115134,0.153453389,0.039850108,0.00387788,0.025270733,0.388059067
37,C1,C,0.007340737,0.166376345,0.044121279,0.006500572,0.039071494,0.469650098
45,C1,C,0.005226347,0.117365062,0.04453069,0.006996136,0.059610038,0.572398897
46,C1,C,0.009039114,0.254983469,0.035449805,0.008828843,0.034625158,0.494115969
52,C1,C,0.006824012,0.184336636,0.037019294,0.008448217,0.045830376,0.553175122
71,C1,C,0.005995667,0.254971727,0.023515026,0.007395304,0.029004409,0.552260499
72,C1,C,0.006889195,0.179794143,0.038317129,0.005346664,0.029737698,0.43696677
73,C1,C,0.007357086,0.244563246,0.03008255,0.006152928,0.025158841,0.4554346
111,C1,C,0.006608504,0.241038956,0.027416745,0.010738694,0.044551697,0.619044899
23,C2,C,0.008892469,0.178276065,0.049880332,0.005018058,0.02814768,0.360738144
29,C2,C,0.007208035,0.262570506,0.027451807,0.01146286,0.043656311,0.613942716
36,C2,C,0.006508287,0.181728225,0.035813296,0.008693451,0.04783765,0.571872192
39,C2,C,0.006183715,0.185316258,0.033368441,0.007252481,0.041101952,0.539771919
57,C2,C,0.00652046,0.207086003,0.031486725,0.009952035,0.048057498,0.604160759
63,C2,C,0.005394578,0.183519726,0.029395087,0.011371277,0.061962154,0.678240203
78,C2,C,0.007844369,0.202018474,0.038829958,0.00965096,0.047772662,0.551630677
86,C2,C,0.002700545,0.151371693,0.017840488,0.007212918,0.047650377,0.727588152
109,C2,C,0.009146196,0.218615011,0.041837,0.006681331,0.029611003,0.422133585
114,C2,C,0.006656984,0.277731159,0.023969166,0.009785149,0.035232449,0.595126487
1,C3,C,0.006113436,0.140278818,0.043580603,0.008775974,0.062560938,0.58941049
8,C3,C,0.004891159,0.100756783,0.048544215,0.004267847,0.042357916,0.465972753
58,C3,C,0.008266539,0.195414414,0.042302607,0.009241529,0.047291954,0.527844028
60,C3,C,0.005889363,0.185640003,0.031724646,0.008879305,0.047830775,0.601225847
81,C3,C,0.005009069,0.149632193,0.03347588,0.00630205,0.042116938,0.557155282
82,C3,C,0.006076916,0.126929794,0.047876197,0.00587719,0.046302683,0.491646142
88,C3,C,0.006461505,0.174771904,0.036971073,0.006047261,0.034600878,0.483441873
103,C3,C,0.009556052,0.24182735,0.039516008,0.011500866,0.047558168,0.546179934
121,C3,C,0.006839016,0.15725781,0.0434892,0.00551447,0.035066433,0.446389798
123,C3,C,0.006052145,0.194513632,0.031114245,0.007677553,0.039470515,0.559193163
16,C4,C,0.005584891,0.172935114,0.03229472,0.010370313,0.059966496,0.649964292
34,C4,C,0.005176027,0.197390432,0.026222277,0.00795414,0.040296483,0.605791258
50,C4,C,0.006060496,0.176060174,0.034422868,0.00919319,0.052216184,0.602686463
83,C4,C,0.011330299,0.282218296,0.040147287,0.021078433,0.074688399,0.650393632
91,C4,C,0.004774169,0.156786451,0.030450135,0.00603615,0.038499179,0.558369287
101,C4,C,0.005232009,0.202781706,0.025801189,0.006571984,0.032409156,0.556759382
102,C4,C,0.008702157,0.25381933,0.034284846,0.00812775,0.032021794,0.482934953
107,C4,C,0.007984432,0.229949436,0.034722554,0.006048111,0.027665578,0.431006047
120,C4,C,0.008588563,0.245032928,0.03505065,0.012015609,0.049036712,0.583163875
126,C4,C,0.00493143,0.234617736,0.021018998,0.007327148,0.031230156,0.597716014
4,F1,F,0.006063893,0.174436418,0.034762772,0.006242741,0.035788058,0.507266297
9,F1,F,0.014227314,0.263697742,0.053953113,0.012608912,0.047815776,0.469846695
13,F1,F,0.00805733,0.207713364,0.038790617,0.010185167,0.04903472,0.558320886
15,F1,F,0.005611785,0.237340213,0.023644478,0.006068564,0.025569053,0.51955331
20,F1,F,0.00743607,0.198318053,0.037495681,0.009340472,0.047098447,0.556757874
